source_index|h_power|x_power|y_power|expr
58|0|1|9|-auxP2_0_8*h_1_1-auxP2_0_9*h_1_0-auxP2_1_3-auxP2_1_4*h_0_5-auxP2_1_5*h_0_4-auxP2_1_6*h_0_3-auxP2_1_7*h_0_2+auxP3_1_9
59|0|1|10|-auxP2_0_10*h_1_0-auxP2_0_9*h_1_1-auxP2_1_4-auxP2_1_5*h_0_5-auxP2_1_6*h_0_4-auxP2_1_7*h_0_3+auxP3_1_10
60|0|1|11|-auxP2_0_10*h_1_1-auxP2_0_11*h_1_0-auxP2_1_5-auxP2_1_6*h_0_5-auxP2_1_7*h_0_4+auxP3_1_11
61|0|1|12|-auxP2_0_11*h_1_1-auxP2_1_6-auxP2_1_7*h_0_5+auxP3_1_12-h_1_0
62|0|1|13|-auxP2_1_7+auxP3_1_13-h_1_1
63|0|2|0|-A3_2_0-auxP2_1_0*h_1_0-auxP2_2_0*h_0_0+auxP3_2_0
64|0|2|1|-A3_2_1-auxP2_1_0*h_1_1-auxP2_1_1*h_1_0-auxP2_2_0*h_0_1-auxP2_2_1*h_0_0+auxP3_2_1
65|0|2|2|-A3_2_2-auxP2_1_1*h_1_1-auxP2_1_2*h_1_0-auxP2_2_0*h_0_2-auxP2_2_1*h_0_1-auxP2_2_2*h_0_0+auxP3_2_2
66|0|2|3|-A2_2_3*h_0_0-A3_2_3-auxP2_1_2*h_1_1-auxP2_1_3*h_1_0-auxP2_2_0*h_0_3-auxP2_2_1*h_0_2-auxP2_2_2*h_0_1+auxP3_2_3
67|0|2|4|-A2_2_3*h_0_1-A3_2_4-auxP2_1_3*h_1_1-auxP2_1_4*h_1_0-auxP2_2_0*h_0_4-auxP2_2_1*h_0_3-auxP2_2_2*h_0_2+auxP3_2_4
68|0|2|5|-A2_2_3*h_0_2-A3_2_5-auxP2_1_4*h_1_1-auxP2_1_5*h_1_0-auxP2_2_0*h_0_5-auxP2_2_1*h_0_4-auxP2_2_2*h_0_3+auxP3_2_5
69|0|2|6|-A2_2_3*h_0_3-auxP2_1_5*h_1_1-auxP2_1_6*h_1_0-auxP2_2_0-auxP2_2_1*h_0_5-auxP2_2_2*h_0_4+auxP3_2_6
70|0|2|7|-A2_2_3*h_0_4-auxP2_1_6*h_1_1-auxP2_1_7*h_1_0-auxP2_2_1-auxP2_2_2*h_0_5+auxP3_2_7
71|0|2|8|-A2_2_3*h_0_5-auxP2_1_7*h_1_1-auxP2_2_2+auxP3_2_8
72|0|3|0|-A3_3_0-auxP2_2_0*h_1_0+auxP3_3_0
73|0|3|1|-A3_3_1-auxP2_2_0*h_1_1-auxP2_2_1*h_1_0+auxP3_3_1
74|0|3|2|-A3_3_2-auxP2_2_1*h_1_1-auxP2_2_2*h_1_0+auxP3_3_2
75|0|3|3|-A2_2_3*h_1_0-A3_3_3-auxP2_2_2*h_1_1+auxP3_3_3
76|0|3|4|-A2_2_3*h_1_1-A3_3_4+auxP3_3_4
77|0|0|0|-auxP3_0_0*h_0_0+auxP4_0_0
78|0|0|1|-A4_0_1-auxP3_0_0*h_0_1-auxP3_0_1*h_0_0+auxP4_0_1
