variable|eliminated|image_terms|image_sha256
A2_5_4|0|1|df43f705209c1a977580b937defbd75484273ab04f4f17e0566ad2d7d5543da3
A2_6_4|0|1|7e34a6c3204bcf9f3b54e281676103739d2db4d00e0055d2d8b6cfb57b3cbf12
A2_7_4|1|1|7ed57bd297d548e11b278adc36ad76909ef384c97094cce9a95e884fed7dfbff
A2_0_3|0|1|5a9ac5c602887f933ca6bea41e98b15d27ab1f661c1e38b935965d736a23c5b9
A2_1_3|0|1|36f7d3e572cc673035618fa2c4d1b240af487acd811550219f04ecc73a3719b3
A2_2_3|0|1|4ff2562fc509f88eb852aedbb67e1888990528d779a0afff75c34b0b46a1405a
A2_3_3|0|1|8e33f7b1984b2311474c5634e9a905d3d41270f6c1102bd717265bcb1bda57f2
A2_4_3|0|1|514a49ea34768221b6ad2097e5e9a4c1c9fe271f6ed4f98048a58d16eb50cc12
A2_5_3|0|1|a7856223ec79200bab87a397910f155079cef80855756bb618106284a4834bb5
A2_6_3|0|1|55c7514e6b8227c57192ced6f4c5115e5b5b7cb2b744f5768c1ab37c3bb63a54
A2_7_3|0|1|954b9fe3483b04e22571f79800ea658ae5d1032f9d6261944f99f6b82753feb6
A2_0_2|0|1|67d5a2a324d034dd408fcb0f958862de1188fecb1b602a0f897c970bae2f4153
A2_1_2|0|1|115048d0702fbe8a9fef4fcf765717a130cb3636bb5b2d8780ac397c172bdf6f
A2_2_2|0|1|f25a94ce299f18df7a2e3e3b9ec26f24ef1aa995236954ee8466f4891f0af114
A2_3_2|0|1|48c24d3b4929568c9743feef0d64bf442bb7c2ce2020adf25fe8ef2d211b173a
A2_4_2|0|1|b30622dc3c0e10664b06efe36fbcfef1f69938c9709e79ba278e4697a911473b
A2_5_2|0|1|2ced92c9c01ee89f2a28bdfe622e292dbe90ed735df85f90dc02f02f9c0a54ec
A2_6_2|0|1|227aacc7f1d42964420388892bb9acdc47b8bf2ea56710b447d0d04d79708f78
A2_7_2|0|1|17af2bdbb91abe935ca8c037efbfe6791994f40bcfe3293892a624a0e15d98b4
A2_8_2|1|1|86add75e90a2fbc9dd276f7688bf7c2a1eba829244b6ee31b4b74c9facc086f5
A2_0_1|0|1|640f9847bbf9005930102738c6ef79ae7bfe0d9f7b4d33bd62bccc779ac8255c
A2_1_1|0|1|da15a2f1ce74643e66df9d77be233cca470ae828552f92ac0e7dc38dc336d032
A2_2_1|0|1|14e6a01790121ea6c75b43340f1f16f2a96cbd82110710a11b095a44a48ecb16
A2_3_1|0|1|de6869f8179220411c55f0aed06c2865a87e98ac1a552156b443a712188847a3
