index	exponent_vector	monomial
193	0,7,3,1,1,0,0	q2_0^7*q3_0^3*q4_0*q5_0
194	0,0,0,8,0,0,0	q4_0^8
195	1,0,1,7,0,0,0	b4*q3_0*q4_0^7
196	0,2,0,7,0,0,0	q2_0^2*q4_0^7
197	2,1,0,7,0,0,0	b4^2*q2_0*q4_0^7
198	4,0,0,7,0,0,0	b4^4*q4_0^7
199	0,1,2,6,0,0,0	q2_0*q3_0^2*q4_0^6
200	2,0,2,6,0,0,0	b4^2*q3_0^2*q4_0^6
201	1,2,1,6,0,0,0	b4*q2_0^2*q3_0*q4_0^6
202	3,1,1,6,0,0,0	b4^3*q2_0*q3_0*q4_0^6
203	5,0,1,6,0,0,0	b4^5*q3_0*q4_0^6
204	0,4,0,6,0,0,0	q2_0^4*q4_0^6
205	2,3,0,6,0,0,0	b4^2*q2_0^3*q4_0^6
206	4,2,0,6,0,0,0	b4^4*q2_0^2*q4_0^6
207	6,1,0,6,0,0,0	b4^6*q2_0*q4_0^6
208	8,0,0,6,0,0,0	b4^8*q4_0^6
209	0,0,4,5,0,0,0	q3_0^4*q4_0^5
210	1,1,3,5,0,0,0	b4*q2_0*q3_0^3*q4_0^5
211	3,0,3,5,0,0,0	b4^3*q3_0^3*q4_0^5
212	0,3,2,5,0,0,0	q2_0^3*q3_0^2*q4_0^5
213	2,2,2,5,0,0,0	b4^2*q2_0^2*q3_0^2*q4_0^5
214	4,1,2,5,0,0,0	b4^4*q2_0*q3_0^2*q4_0^5
215	6,0,2,5,0,0,0	b4^6*q3_0^2*q4_0^5
216	1,4,1,5,0,0,0	b4*q2_0^4*q3_0*q4_0^5
217	3,3,1,5,0,0,0	b4^3*q2_0^3*q3_0*q4_0^5
218	5,2,1,5,0,0,0	b4^5*q2_0^2*q3_0*q4_0^5
219	7,1,1,5,0,0,0	b4^7*q2_0*q3_0*q4_0^5
220	9,0,1,5,0,0,0	b4^9*q3_0*q4_0^5
221	0,6,0,5,0,0,0	q2_0^6*q4_0^5
222	2,5,0,5,0,0,0	b4^2*q2_0^5*q4_0^5
223	4,4,0,5,0,0,0	b4^4*q2_0^4*q4_0^5
224	6,3,0,5,0,0,0	b4^6*q2_0^3*q4_0^5
225	8,2,0,5,0,0,0	b4^8*q2_0^2*q4_0^5
226	10,1,0,5,0,0,0	b4^10*q2_0*q4_0^5
227	12,0,0,5,0,0,0	b4^12*q4_0^5
228	1,0,5,4,0,0,0	b4*q3_0^5*q4_0^4
229	0,2,4,4,0,0,0	q2_0^2*q3_0^4*q4_0^4
230	2,1,4,4,0,0,0	b4^2*q2_0*q3_0^4*q4_0^4
231	4,0,4,4,0,0,0	b4^4*q3_0^4*q4_0^4
232	0,5,2,4,0,0,0	q2_0^5*q3_0^2*q4_0^4
233	0,8,0,4,0,0,0	q2_0^8*q4_0^4
234	0,1,6,3,0,0,0	q2_0*q3_0^6*q4_0^3
235	0,4,4,3,0,0,0	q2_0^4*q3_0^4*q4_0^3
236	13,0,1,3,1,0,0	b4^13*q3_0*q4_0^3*q5_0
237	0,8,0,3,1,0,0	q2_0^8*q4_0^3*q5_0
238	2,7,0,3,1,0,0	b4^2*q2_0^7*q4_0^3*q5_0
239	4,6,0,3,1,0,0	b4^4*q2_0^6*q4_0^3*q5_0
240	6,5,0,3,1,0,0	b4^6*q2_0^5*q4_0^3*q5_0
241	8,4,0,3,1,0,0	b4^8*q2_0^4*q4_0^3*q5_0
242	10,3,0,3,1,0,0	b4^10*q2_0^3*q4_0^3*q5_0
243	12,2,0,3,1,0,0	b4^12*q2_0^2*q4_0^3*q5_0
244	14,1,0,3,1,0,0	b4^14*q2_0*q4_0^3*q5_0
245	0,1,6,2,1,0,0	q2_0*q3_0^6*q4_0^2*q5_0
246	2,0,6,2,1,0,0	b4^2*q3_0^6*q4_0^2*q5_0
247	1,2,5,2,1,0,0	b4*q2_0^2*q3_0^5*q4_0^2*q5_0
248	3,1,5,2,1,0,0	b4^3*q2_0*q3_0^5*q4_0^2*q5_0
249	5,0,5,2,1,0,0	b4^5*q3_0^5*q4_0^2*q5_0
250	0,4,4,2,1,0,0	q2_0^4*q3_0^4*q4_0^2*q5_0
