index	exponent_vector	monomial
150	5,1,3,3,0,0	b4^5*q2_0*q3_0^3*q4_0^3
151	7,0,3,3,0,0	b4^7*q3_0^3*q4_0^3
152	0,5,2,3,0,0	q2_0^5*q3_0^2*q4_0^3
153	2,4,2,3,0,0	b4^2*q2_0^4*q3_0^2*q4_0^3
154	0,8,0,3,0,0	q2_0^8*q4_0^3
155	0,1,6,2,0,0	q2_0*q3_0^6*q4_0^2
156	0,4,4,2,0,0	q2_0^4*q3_0^4*q4_0^2
157	3,1,5,1,1,0	b4^3*q2_0*q3_0^5*q4_0*q5_0
158	5,0,5,1,1,0	b4^5*q3_0^5*q4_0*q5_0
159	0,4,4,1,1,0	q2_0^4*q3_0^4*q4_0*q5_0
160	2,3,4,1,1,0	b4^2*q2_0^3*q3_0^4*q4_0*q5_0
161	4,2,4,1,1,0	b4^4*q2_0^2*q3_0^4*q4_0*q5_0
162	6,1,4,1,1,0	b4^6*q2_0*q3_0^4*q4_0*q5_0
163	8,0,4,1,1,0	b4^8*q3_0^4*q4_0*q5_0
164	1,5,3,1,1,0	b4*q2_0^5*q3_0^3*q4_0*q5_0
165	3,4,3,1,1,0	b4^3*q2_0^4*q3_0^3*q4_0*q5_0
166	5,3,3,1,1,0	b4^5*q2_0^3*q3_0^3*q4_0*q5_0
167	7,2,3,1,1,0	b4^7*q2_0^2*q3_0^3*q4_0*q5_0
168	9,1,3,1,1,0	b4^9*q2_0*q3_0^3*q4_0*q5_0
169	1,0,0,7,0,0	b4*q4_0^7
170	0,1,1,6,0,0	q2_0*q3_0*q4_0^6
171	2,0,1,6,0,0	b4^2*q3_0*q4_0^6
172	1,2,0,6,0,0	b4*q2_0^2*q4_0^6
173	3,1,0,6,0,0	b4^3*q2_0*q4_0^6
174	5,0,0,6,0,0	b4^5*q4_0^6
175	0,0,3,5,0,0	q3_0^3*q4_0^5
176	1,1,2,5,0,0	b4*q2_0*q3_0^2*q4_0^5
177	3,0,2,5,0,0	b4^3*q3_0^2*q4_0^5
178	0,3,1,5,0,0	q2_0^3*q3_0*q4_0^5
179	2,2,1,5,0,0	b4^2*q2_0^2*q3_0*q4_0^5
180	4,1,1,5,0,0	b4^4*q2_0*q3_0*q4_0^5
181	6,0,1,5,0,0	b4^6*q3_0*q4_0^5
182	1,4,0,5,0,0	b4*q2_0^4*q4_0^5
183	3,3,0,5,0,0	b4^3*q2_0^3*q4_0^5
184	5,2,0,5,0,0	b4^5*q2_0^2*q4_0^5
185	7,1,0,5,0,0	b4^7*q2_0*q4_0^5
186	9,0,0,5,0,0	b4^9*q4_0^5
187	0,2,3,4,0,0	q2_0^2*q3_0^3*q4_0^4
188	0,5,1,4,0,0	q2_0^5*q3_0*q4_0^4
189	0,1,5,3,0,0	q2_0*q3_0^5*q4_0^3
190	0,4,3,3,0,0	q2_0^4*q3_0^3*q4_0^3
191	3,2,2,3,1,0	b4^3*q2_0^2*q3_0^2*q4_0^3*q5_0
192	5,1,2,3,1,0	b4^5*q2_0*q3_0^2*q4_0^3*q5_0
193	7,0,2,3,1,0	b4^7*q3_0^2*q4_0^3*q5_0
194	0,5,1,3,1,0	q2_0^5*q3_0*q4_0^3*q5_0
195	2,4,1,3,1,0	b4^2*q2_0^4*q3_0*q4_0^3*q5_0
196	4,3,1,3,1,0	b4^4*q2_0^3*q3_0*q4_0^3*q5_0
197	6,2,1,3,1,0	b4^6*q2_0^2*q3_0*q4_0^3*q5_0
198	8,1,1,3,1,0	b4^8*q2_0*q3_0*q4_0^3*q5_0
199	10,0,1,3,1,0	b4^10*q3_0*q4_0^3*q5_0
200	1,6,0,3,1,0	b4*q2_0^6*q4_0^3*q5_0
201	3,5,0,3,1,0	b4^3*q2_0^5*q4_0^3*q5_0
202	5,4,0,3,1,0	b4^5*q2_0^4*q4_0^3*q5_0
203	7,3,0,3,1,0	b4^7*q2_0^3*q4_0^3*q5_0
204	9,2,0,3,1,0	b4^9*q2_0^2*q4_0^3*q5_0
205	11,1,0,3,1,0	b4^11*q2_0*q4_0^3*q5_0
206	13,0,0,3,1,0	b4^13*q4_0^3*q5_0
207	0,1,5,2,1,0	q2_0*q3_0^5*q4_0^2*q5_0
208	2,0,5,2,1,0	b4^2*q3_0^5*q4_0^2*q5_0
209	1,2,4,2,1,0	b4*q2_0^2*q3_0^4*q4_0^2*q5_0
210	3,1,4,2,1,0	b4^3*q2_0*q3_0^4*q4_0^2*q5_0
211	5,0,4,2,1,0	b4^5*q3_0^4*q4_0^2*q5_0
212	0,4,3,2,1,0	q2_0^4*q3_0^3*q4_0^2*q5_0
213	2,3,3,2,1,0	b4^2*q2_0^3*q3_0^3*q4_0^2*q5_0
214	4,2,3,2,1,0	b4^4*q2_0^2*q3_0^3*q4_0^2*q5_0
215	6,1,3,2,1,0	b4^6*q2_0*q3_0^3*q4_0^2*q5_0
216	8,0,3,2,1,0	b4^8*q3_0^3*q4_0^2*q5_0
217	1,5,2,2,1,0	b4*q2_0^5*q3_0^2*q4_0^2*q5_0
218	3,4,2,2,1,0	b4^3*q2_0^4*q3_0^2*q4_0^2*q5_0
219	5,3,2,2,1,0	b4^5*q2_0^3*q3_0^2*q4_0^2*q5_0
220	7,2,2,2,1,0	b4^7*q2_0^2*q3_0^2*q4_0^2*q5_0
221	9,1,2,2,1,0	b4^9*q2_0*q3_0^2*q4_0^2*q5_0
222	11,0,2,2,1,0	b4^11*q3_0^2*q4_0^2*q5_0
223	0,7,1,2,1,0	q2_0^7*q3_0*q4_0^2*q5_0
224	2,6,1,2,1,0	b4^2*q2_0^6*q3_0*q4_0^2*q5_0
225	4,5,1,2,1,0	b4^4*q2_0^5*q3_0*q4_0^2*q5_0
226	6,4,1,2,1,0	b4^6*q2_0^4*q3_0*q4_0^2*q5_0
227	8,3,1,2,1,0	b4^8*q2_0^3*q3_0*q4_0^2*q5_0
228	10,2,1,2,1,0	b4^10*q2_0^2*q3_0*q4_0^2*q5_0
229	12,1,1,2,1,0	b4^12*q2_0*q3_0*q4_0^2*q5_0
230	1,8,0,2,1,0	b4*q2_0^8*q4_0^2*q5_0
231	3,7,0,2,1,0	b4^3*q2_0^7*q4_0^2*q5_0
232	5,6,0,2,1,0	b4^5*q2_0^6*q4_0^2*q5_0
233	0,1,0,7,0,0	q2_0*q4_0^7
234	0,0,2,6,0,0	q3_0^2*q4_0^6
235	0,3,0,6,0,0	q2_0^3*q4_0^6
236	0,2,2,5,0,0	q2_0^2*q3_0^2*q4_0^5
237	0,5,0,5,0,0	q2_0^5*q4_0^5
238	0,0,6,3,0,0	q3_0^6*q4_0^3
239	4,5,1,1,2,0	b4^4*q2_0^5*q3_0*q4_0*q5_0^2
240	6,4,1,1,2,0	b4^6*q2_0^4*q3_0*q4_0*q5_0^2
241	8,3,1,1,2,0	b4^8*q2_0^3*q3_0*q4_0*q5_0^2
242	10,2,1,1,2,0	b4^10*q2_0^2*q3_0*q4_0*q5_0^2
243	12,1,1,1,2,0	b4^12*q2_0*q3_0*q4_0*q5_0^2
244	1,8,0,1,2,0	b4*q2_0^8*q4_0*q5_0^2
245	3,7,0,1,2,0	b4^3*q2_0^7*q4_0*q5_0^2
246	5,6,0,1,2,0	b4^5*q2_0^6*q4_0*q5_0^2
247	0,0,7,0,2,0	q3_0^7*q5_0^2
248	1,1,6,0,2,0	b4*q2_0*q3_0^6*q5_0^2
249	3,0,6,0,2,0	b4^3*q3_0^6*q5_0^2
250	0,3,5,0,2,0	q2_0^3*q3_0^5*q5_0^2
251	2,2,5,0,2,0	b4^2*q2_0^2*q3_0^5*q5_0^2
252	4,1,5,0,2,0	b4^4*q2_0*q3_0^5*q5_0^2
253	6,0,5,0,2,0	b4^6*q3_0^5*q5_0^2
254	1,4,4,0,2,0	b4*q2_0^4*q3_0^4*q5_0^2
255	3,3,4,0,2,0	b4^3*q2_0^3*q3_0^4*q5_0^2
256	5,2,4,0,2,0	b4^5*q2_0^2*q3_0^4*q5_0^2
257	7,1,4,0,2,0	b4^7*q2_0*q3_0^4*q5_0^2
258	9,0,4,0,2,0	b4^9*q3_0^4*q5_0^2
259	0,6,3,0,2,0	q2_0^6*q3_0^3*q5_0^2
260	2,5,3,0,2,0	b4^2*q2_0^5*q3_0^3*q5_0^2
261	4,4,3,0,2,0	b4^4*q2_0^4*q3_0^3*q5_0^2
262	6,3,3,0,2,0	b4^6*q2_0^3*q3_0^3*q5_0^2
263	8,2,3,0,2,0	b4^8*q2_0^2*q3_0^3*q5_0^2
264	0,1,0,6,1,0	q2_0*q4_0^6*q5_0
265	2,0,0,6,1,0	b4^2*q4_0^6*q5_0
266	0,0,2,5,1,0	q3_0^2*q4_0^5*q5_0
267	1,1,1,5,1,0	b4*q2_0*q3_0*q4_0^5*q5_0
268	3,0,1,5,1,0	b4^3*q3_0*q4_0^5*q5_0
269	0,3,0,5,1,0	q2_0^3*q4_0^5*q5_0
270	2,2,0,5,1,0	b4^2*q2_0^2*q4_0^5*q5_0
271	4,1,0,5,1,0	b4^4*q2_0*q4_0^5*q5_0
272	6,0,0,5,1,0	b4^6*q4_0^5*q5_0
273	1,0,3,4,1,0	b4*q3_0^3*q4_0^4*q5_0
274	0,2,2,4,1,0	q2_0^2*q3_0^2*q4_0^4*q5_0
275	2,1,2,4,1,0	b4^2*q2_0*q3_0^2*q4_0^4*q5_0
276	4,0,2,4,1,0	b4^4*q3_0^2*q4_0^4*q5_0
277	1,3,1,4,1,0	b4*q2_0^3*q3_0*q4_0^4*q5_0
278	3,2,1,4,1,0	b4^3*q2_0^2*q3_0*q4_0^4*q5_0
279	5,1,1,4,1,0	b4^5*q2_0*q3_0*q4_0^4*q5_0
280	7,0,1,4,1,0	b4^7*q3_0*q4_0^4*q5_0
281	0,5,0,4,1,0	q2_0^5*q4_0^4*q5_0
282	2,4,0,4,1,0	b4^2*q2_0^4*q4_0^4*q5_0
283	4,3,0,4,1,0	b4^4*q2_0^3*q4_0^4*q5_0
284	6,2,0,4,1,0	b4^6*q2_0^2*q4_0^4*q5_0
285	8,1,0,4,1,0	b4^8*q2_0*q4_0^4*q5_0
286	10,0,0,4,1,0	b4^10*q4_0^4*q5_0
287	0,1,4,3,1,0	q2_0*q3_0^4*q4_0^3*q5_0
288	2,0,4,3,1,0	b4^2*q3_0^4*q4_0^3*q5_0
289	1,2,3,3,1,0	b4*q2_0^2*q3_0^3*q4_0^3*q5_0
290	3,1,3,3,1,0	b4^3*q2_0*q3_0^3*q4_0^3*q5_0
291	5,0,3,3,1,0	b4^5*q3_0^3*q4_0^3*q5_0
292	0,4,2,3,1,0	q2_0^4*q3_0^2*q4_0^3*q5_0
293	2,3,2,3,1,0	b4^2*q2_0^3*q3_0^2*q4_0^3*q5_0
294	0,7,0,3,1,0	q2_0^7*q4_0^3*q5_0
295	0,0,6,2,1,0	q3_0^6*q4_0^2*q5_0
296	0,3,4,2,1,0	q2_0^3*q3_0^4*q4_0^2*q5_0
297	0,0,1,7,0,0	q3_0*q4_0^7
298	2,0,0,5,2,0	b4^2*q4_0^5*q5_0^2
299	0,0,2,4,2,0	q3_0^2*q4_0^4*q5_0^2
300	1,1,1,4,2,0	b4*q2_0*q3_0*q4_0^4*q5_0^2
301	3,0,1,4,2,0	b4^3*q3_0*q4_0^4*q5_0^2
302	0,3,0,4,2,0	q2_0^3*q4_0^4*q5_0^2
303	2,2,0,4,2,0	b4^2*q2_0^2*q4_0^4*q5_0^2
304	4,1,0,4,2,0	b4^4*q2_0*q4_0^4*q5_0^2
305	6,0,0,4,2,0	b4^6*q4_0^4*q5_0^2
306	1,0,3,3,2,0	b4*q3_0^3*q4_0^3*q5_0^2
307	0,2,2,3,2,0	q2_0^2*q3_0^2*q4_0^3*q5_0^2
308	2,1,2,3,2,0	b4^2*q2_0*q3_0^2*q4_0^3*q5_0^2
309	4,0,2,3,2,0	b4^4*q3_0^2*q4_0^3*q5_0^2
310	1,3,1,3,2,0	b4*q2_0^3*q3_0*q4_0^3*q5_0^2
311	3,2,1,3,2,0	b4^3*q2_0^2*q3_0*q4_0^3*q5_0^2
312	5,1,1,3,2,0	b4^5*q2_0*q3_0*q4_0^3*q5_0^2
313	7,0,1,3,2,0	b4^7*q3_0*q4_0^3*q5_0^2
314	0,5,0,3,2,0	q2_0^5*q4_0^3*q5_0^2
315	2,4,0,3,2,0	b4^2*q2_0^4*q4_0^3*q5_0^2
316	4,3,0,3,2,0	b4^4*q2_0^3*q4_0^3*q5_0^2
317	6,2,0,3,2,0	b4^6*q2_0^2*q4_0^3*q5_0^2
318	8,1,0,3,2,0	b4^8*q2_0*q4_0^3*q5_0^2
319	10,0,0,3,2,0	b4^10*q4_0^3*q5_0^2
320	0,1,4,2,2,0	q2_0*q3_0^4*q4_0^2*q5_0^2
321	2,0,4,2,2,0	b4^2*q3_0^4*q4_0^2*q5_0^2
322	1,2,3,2,2,0	b4*q2_0^2*q3_0^3*q4_0^2*q5_0^2
323	3,1,3,2,2,0	b4^3*q2_0*q3_0^3*q4_0^2*q5_0^2
324	5,0,3,2,2,0	b4^5*q3_0^3*q4_0^2*q5_0^2
325	0,4,2,2,2,0	q2_0^4*q3_0^2*q4_0^2*q5_0^2
326	2,3,2,2,2,0	b4^2*q2_0^3*q3_0^2*q4_0^2*q5_0^2
327	4,2,2,2,2,0	b4^4*q2_0^2*q3_0^2*q4_0^2*q5_0^2
328	6,1,2,2,2,0	b4^6*q2_0*q3_0^2*q4_0^2*q5_0^2
329	8,0,2,2,2,0	b4^8*q3_0^2*q4_0^2*q5_0^2
330	1,5,1,2,2,0	b4*q2_0^5*q3_0*q4_0^2*q5_0^2
331	3,4,1,2,2,0	b4^3*q2_0^4*q3_0*q4_0^2*q5_0^2
332	5,3,1,2,2,0	b4^5*q2_0^3*q3_0*q4_0^2*q5_0^2
333	7,2,1,2,2,0	b4^7*q2_0^2*q3_0*q4_0^2*q5_0^2
334	9,1,1,2,2,0	b4^9*q2_0*q3_0*q4_0^2*q5_0^2
335	11,0,1,2,2,0	b4^11*q3_0*q4_0^2*q5_0^2
336	0,7,0,2,2,0	q2_0^7*q4_0^2*q5_0^2
337	2,6,0,2,2,0	b4^2*q2_0^6*q4_0^2*q5_0^2
338	4,5,0,2,2,0	b4^4*q2_0^5*q4_0^2*q5_0^2
339	6,4,0,2,2,0	b4^6*q2_0^4*q4_0^2*q5_0^2
340	8,3,0,2,2,0	b4^8*q2_0^3*q4_0^2*q5_0^2
341	10,2,0,2,2,0	b4^10*q2_0^2*q4_0^2*q5_0^2
342	12,1,0,2,2,0	b4^12*q2_0*q4_0^2*q5_0^2
343	0,0,6,1,2,0	q3_0^6*q4_0*q5_0^2
344	1,1,5,1,2,0	b4*q2_0*q3_0^5*q4_0*q5_0^2
345	3,0,5,1,2,0	b4^3*q3_0^5*q4_0*q5_0^2
346	0,3,4,1,2,0	q2_0^3*q3_0^4*q4_0*q5_0^2
347	2,2,4,1,2,0	b4^2*q2_0^2*q3_0^4*q4_0*q5_0^2
348	4,1,4,1,2,0	b4^4*q2_0*q3_0^4*q4_0*q5_0^2
349	6,0,4,1,2,0	b4^6*q3_0^4*q4_0*q5_0^2
350	1,4,3,1,2,0	b4*q2_0^4*q3_0^3*q4_0*q5_0^2
351	3,3,3,1,2,0	b4^3*q2_0^3*q3_0^3*q4_0*q5_0^2
352	5,2,3,1,2,0	b4^5*q2_0^2*q3_0^3*q4_0*q5_0^2
353	7,1,3,1,2,0	b4^7*q2_0*q3_0^3*q4_0*q5_0^2
354	9,0,3,1,2,0	b4^9*q3_0^3*q4_0*q5_0^2
355	0,6,2,1,2,0	q2_0^6*q3_0^2*q4_0*q5_0^2
356	2,5,2,1,2,0	b4^2*q2_0^5*q3_0^2*q4_0*q5_0^2
357	4,4,2,1,2,0	b4^4*q2_0^4*q3_0^2*q4_0*q5_0^2
358	6,3,2,1,2,0	b4^6*q2_0^3*q3_0^2*q4_0*q5_0^2
359	8,2,2,1,2,0	b4^8*q2_0^2*q3_0^2*q4_0*q5_0^2
360	10,1,2,1,2,0	b4^10*q2_0*q3_0^2*q4_0*q5_0^2
361	12,0,2,1,2,0	b4^12*q3_0^2*q4_0*q5_0^2
362	1,7,1,1,2,0	b4*q2_0^7*q3_0*q4_0*q5_0^2
363	3,6,1,1,2,0	b4^3*q2_0^6*q3_0*q4_0*q5_0^2
364	0,9,0,1,2,0	q2_0^9*q4_0*q5_0^2
365	0,2,6,0,2,0	q2_0^2*q3_0^6*q5_0^2
366	0,5,4,0,2,0	q2_0^5*q3_0^4*q5_0^2
367	0,0,1,6,1,0	q3_0*q4_0^6*q5_0
368	0,2,1,5,1,0	q2_0^2*q3_0*q4_0^5*q5_0
369	0,1,3,4,1,0	q2_0*q3_0^3*q4_0^4*q5_0
370	0,4,1,4,1,0	q2_0^4*q3_0*q4_0^4*q5_0
371	0,0,5,3,1,0	q3_0^5*q4_0^3*q5_0
372	0,3,3,3,1,0	q2_0^3*q3_0^3*q4_0^3*q5_0
373	0,0,0,8,0,0	q4_0^8
374	0,3,0,3,3,0	q2_0^3*q4_0^3*q5_0^3
375	2,2,0,3,3,0	b4^2*q2_0^2*q4_0^3*q5_0^3
376	4,1,0,3,3,0	b4^4*q2_0*q4_0^3*q5_0^3
377	6,0,0,3,3,0	b4^6*q4_0^3*q5_0^3
378	1,0,3,2,3,0	b4*q3_0^3*q4_0^2*q5_0^3
379	0,2,2,2,3,0	q2_0^2*q3_0^2*q4_0^2*q5_0^3
380	2,1,2,2,3,0	b4^2*q2_0*q3_0^2*q4_0^2*q5_0^3
381	4,0,2,2,3,0	b4^4*q3_0^2*q4_0^2*q5_0^3
382	1,3,1,2,3,0	b4*q2_0^3*q3_0*q4_0^2*q5_0^3
383	3,2,1,2,3,0	b4^3*q2_0^2*q3_0*q4_0^2*q5_0^3
384	5,1,1,2,3,0	b4^5*q2_0*q3_0*q4_0^2*q5_0^3
385	7,0,1,2,3,0	b4^7*q3_0*q4_0^2*q5_0^3
