index	exponent_vector	monomial
52	5,2,3,1,0	b4^5*q2_0^2*q3_0^3*q4_0
53	7,1,3,1,0	b4^7*q2_0*q3_0^3*q4_0
54	9,0,3,1,0	b4^9*q3_0^3*q4_0
55	0,6,2,1,0	q2_0^6*q3_0^2*q4_0
56	2,5,2,1,0	b4^2*q2_0^5*q3_0^2*q4_0
57	0,2,6,0,0	q2_0^2*q3_0^6
58	6,0,3,2,0	b4^6*q3_0^3*q4_0^2
59	1,4,2,2,0	b4*q2_0^4*q3_0^2*q4_0^2
60	3,3,2,2,0	b4^3*q2_0^3*q3_0^2*q4_0^2
61	5,2,2,2,0	b4^5*q2_0^2*q3_0^2*q4_0^2
62	7,1,2,2,0	b4^7*q2_0*q3_0^2*q4_0^2
63	9,0,2,2,0	b4^9*q3_0^2*q4_0^2
64	0,6,1,2,0	q2_0^6*q3_0*q4_0^2
65	2,5,1,2,0	b4^2*q2_0^5*q3_0*q4_0^2
66	4,4,1,2,0	b4^4*q2_0^4*q3_0*q4_0^2
67	6,3,1,2,0	b4^6*q2_0^3*q3_0*q4_0^2
68	8,2,1,2,0	b4^8*q2_0^2*q3_0*q4_0^2
69	10,1,1,2,0	b4^10*q2_0*q3_0*q4_0^2
70	1,7,0,2,0	b4*q2_0^7*q4_0^2
71	3,6,0,2,0	b4^3*q2_0^6*q4_0^2
72	1,0,6,1,0	b4*q3_0^6*q4_0
73	0,2,5,1,0	q2_0^2*q3_0^5*q4_0
74	0,5,3,1,0	q2_0^5*q3_0^3*q4_0
75	6,0,2,3,0	b4^6*q3_0^2*q4_0^3
76	1,4,1,3,0	b4*q2_0^4*q3_0*q4_0^3
77	3,3,1,3,0	b4^3*q2_0^3*q3_0*q4_0^3
78	5,2,1,3,0	b4^5*q2_0^2*q3_0*q4_0^3
79	7,1,1,3,0	b4^7*q2_0*q3_0*q4_0^3
80	9,0,1,3,0	b4^9*q3_0*q4_0^3
81	0,6,0,3,0	q2_0^6*q4_0^3
82	2,5,0,3,0	b4^2*q2_0^5*q4_0^3
83	4,4,0,3,0	b4^4*q2_0^4*q4_0^3
84	6,3,0,3,0	b4^6*q2_0^3*q4_0^3
85	8,2,0,3,0	b4^8*q2_0^2*q4_0^3
86	10,1,0,3,0	b4^10*q2_0*q4_0^3
87	1,0,5,2,0	b4*q3_0^5*q4_0^2
88	0,2,4,2,0	q2_0^2*q3_0^4*q4_0^2
89	2,1,4,2,0	b4^2*q2_0*q3_0^4*q4_0^2
90	4,0,4,2,0	b4^4*q3_0^4*q4_0^2
91	1,3,3,2,0	b4*q2_0^3*q3_0^3*q4_0^2
92	3,2,3,2,0	b4^3*q2_0^2*q3_0^3*q4_0^2
93	5,1,3,2,0	b4^5*q2_0*q3_0^3*q4_0^2
94	0,5,2,2,0	q2_0^5*q3_0^2*q4_0^2
95	0,1,6,1,0	q2_0*q3_0^6*q4_0
96	3,1,0,5,0	b4^3*q2_0*q4_0^5
97	5,0,0,5,0	b4^5*q4_0^5
98	0,0,3,4,0	q3_0^3*q4_0^4
99	1,1,2,4,0	b4*q2_0*q3_0^2*q4_0^4
100	3,0,2,4,0	b4^3*q3_0^2*q4_0^4
101	0,3,1,4,0	q2_0^3*q3_0*q4_0^4
102	2,2,1,4,0	b4^2*q2_0^2*q3_0*q4_0^4
103	4,1,1,4,0	b4^4*q2_0*q3_0*q4_0^4
104	6,0,1,4,0	b4^6*q3_0*q4_0^4
105	1,4,0,4,0	b4*q2_0^4*q4_0^4
106	3,3,0,4,0	b4^3*q2_0^3*q4_0^4
107	5,2,0,4,0	b4^5*q2_0^2*q4_0^4
108	7,1,0,4,0	b4^7*q2_0*q4_0^4
109	9,0,0,4,0	b4^9*q4_0^4
110	1,0,4,3,0	b4*q3_0^4*q4_0^3
111	0,2,3,3,0	q2_0^2*q3_0^3*q4_0^3
112	2,1,3,3,0	b4^2*q2_0*q3_0^3*q4_0^3
113	4,0,3,3,0	b4^4*q3_0^3*q4_0^3
114	1,3,2,3,0	b4*q2_0^3*q3_0^2*q4_0^3
115	3,2,2,3,0	b4^3*q2_0^2*q3_0^2*q4_0^3
116	5,1,2,3,0	b4^5*q2_0*q3_0^2*q4_0^3
117	0,5,1,3,0	q2_0^5*q3_0*q4_0^3
118	0,1,5,2,0	q2_0*q3_0^5*q4_0^2
119	0,4,3,2,0	q2_0^4*q3_0^3*q4_0^2
120	7,0,3,1,1	b4^7*q3_0^3*q4_0*b3
121	0,5,2,1,1	q2_0^5*q3_0^2*q4_0*b3
122	2,4,2,1,1	b4^2*q2_0^4*q3_0^2*q4_0*b3
123	4,3,2,1,1	b4^4*q2_0^3*q3_0^2*q4_0*b3
124	6,2,2,1,1	b4^6*q2_0^2*q3_0^2*q4_0*b3
125	8,1,2,1,1	b4^8*q2_0*q3_0^2*q4_0*b3
126	10,0,2,1,1	b4^10*q3_0^2*q4_0*b3
127	1,6,1,1,1	b4*q2_0^6*q3_0*q4_0*b3
128	3,5,1,1,1	b4^3*q2_0^5*q3_0*q4_0*b3
129	5,4,1,1,1	b4^5*q2_0^4*q3_0*q4_0*b3
130	7,3,1,1,1	b4^7*q2_0^3*q3_0*q4_0*b3
131	9,2,1,1,1	b4^9*q2_0^2*q3_0*q4_0*b3
132	0,1,6,0,1	q2_0*q3_0^6*b3
133	2,0,6,0,1	b4^2*q3_0^6*b3
134	1,2,5,0,1	b4*q2_0^2*q3_0^5*b3
135	0,1,0,6,0	q2_0*q4_0^6
136	2,0,0,6,0	b4^2*q4_0^6
137	0,0,2,5,0	q3_0^2*q4_0^5
138	1,1,1,5,0	b4*q2_0*q3_0*q4_0^5
139	3,0,1,5,0	b4^3*q3_0*q4_0^5
140	0,3,0,5,0	q2_0^3*q4_0^5
141	2,2,0,5,0	b4^2*q2_0^2*q4_0^5
142	0,2,2,4,0	q2_0^2*q3_0^2*q4_0^4
143	0,5,0,4,0	q2_0^5*q4_0^4
144	0,1,4,3,0	q2_0*q3_0^4*q4_0^3
145	0,4,2,3,0	q2_0^4*q3_0^2*q4_0^3
146	0,0,6,2,0	q3_0^6*q4_0^2
147	6,0,1,3,1	b4^6*q3_0*q4_0^3*b3
148	1,4,0,3,1	b4*q2_0^4*q4_0^3*b3
149	3,3,0,3,1	b4^3*q2_0^3*q4_0^3*b3
150	5,2,0,3,1	b4^5*q2_0^2*q4_0^3*b3
151	7,1,0,3,1	b4^7*q2_0*q4_0^3*b3
152	9,0,0,3,1	b4^9*q4_0^3*b3
153	1,0,4,2,1	b4*q3_0^4*q4_0^2*b3
154	0,2,3,2,1	q2_0^2*q3_0^3*q4_0^2*b3
155	2,1,3,2,1	b4^2*q2_0*q3_0^3*q4_0^2*b3
156	4,0,3,2,1	b4^4*q3_0^3*q4_0^2*b3
157	1,3,2,2,1	b4*q2_0^3*q3_0^2*q4_0^2*b3
158	3,2,2,2,1	b4^3*q2_0^2*q3_0^2*q4_0^2*b3
159	5,1,2,2,1	b4^5*q2_0*q3_0^2*q4_0^2*b3
160	7,0,2,2,1	b4^7*q3_0^2*q4_0^2*b3
161	0,5,1,2,1	q2_0^5*q3_0*q4_0^2*b3
162	2,4,1,2,1	b4^2*q2_0^4*q3_0*q4_0^2*b3
163	4,3,1,2,1	b4^4*q2_0^3*q3_0*q4_0^2*b3
164	6,2,1,2,1	b4^6*q2_0^2*q3_0*q4_0^2*b3
165	8,1,1,2,1	b4^8*q2_0*q3_0*q4_0^2*b3
166	10,0,1,2,1	b4^10*q3_0*q4_0^2*b3
167	1,6,0,2,1	b4*q2_0^6*q4_0^2*b3
168	3,5,0,2,1	b4^3*q2_0^5*q4_0^2*b3
169	5,4,0,2,1	b4^5*q2_0^4*q4_0^2*b3
170	7,3,0,2,1	b4^7*q2_0^3*q4_0^2*b3
171	9,2,0,2,1	b4^9*q2_0^2*q4_0^2*b3
172	0,1,5,1,1	q2_0*q3_0^5*q4_0*b3
173	2,0,5,1,1	b4^2*q3_0^5*q4_0*b3
174	1,2,4,1,1	b4*q2_0^2*q3_0^4*q4_0*b3
175	3,1,4,1,1	b4^3*q2_0*q3_0^4*q4_0*b3
176	5,0,4,1,1	b4^5*q3_0^4*q4_0*b3
177	0,4,3,1,1	q2_0^4*q3_0^3*q4_0*b3
178	2,3,3,1,1	b4^2*q2_0^3*q3_0^3*q4_0*b3
179	4,2,3,1,1	b4^4*q2_0^2*q3_0^3*q4_0*b3
180	6,1,3,1,1	b4^6*q2_0*q3_0^3*q4_0*b3
181	0,0,1,6,0	q3_0*q4_0^6
182	0,2,1,5,0	q2_0^2*q3_0*q4_0^5
183	0,0,5,3,0	q3_0^5*q4_0^3
184	1,0,5,0,2	b4*q3_0^5*b3^2
185	0,2,4,0,2	q2_0^2*q3_0^4*b3^2
186	2,1,4,0,2	b4^2*q2_0*q3_0^4*b3^2
187	4,0,4,0,2	b4^4*q3_0^4*b3^2
188	1,3,3,0,2	b4*q2_0^3*q3_0^3*b3^2
189	3,2,3,0,2	b4^3*q2_0^2*q3_0^3*b3^2
190	5,1,3,0,2	b4^5*q2_0*q3_0^3*b3^2
191	7,0,3,0,2	b4^7*q3_0^3*b3^2
192	0,5,2,0,2	q2_0^5*q3_0^2*b3^2
193	2,4,2,0,2	b4^2*q2_0^4*q3_0^2*b3^2
194	4,3,2,0,2	b4^4*q2_0^3*q3_0^2*b3^2
195	6,2,2,0,2	b4^6*q2_0^2*q3_0^2*b3^2
196	8,1,2,0,2	b4^8*q2_0*q3_0^2*b3^2
197	10,0,2,0,2	b4^10*q3_0^2*b3^2
198	1,6,1,0,2	b4*q2_0^6*q3_0*b3^2
199	3,5,1,0,2	b4^3*q2_0^5*q3_0*b3^2
200	5,4,1,0,2	b4^5*q2_0^4*q3_0*b3^2
201	7,3,1,0,2	b4^7*q2_0^3*q3_0*b3^2
202	9,2,1,0,2	b4^9*q2_0^2*q3_0*b3^2
203	0,1,0,5,1	q2_0*q4_0^5*b3
204	2,0,0,5,1	b4^2*q4_0^5*b3
205	0,0,2,4,1	q3_0^2*q4_0^4*b3
206	1,1,1,4,1	b4*q2_0*q3_0*q4_0^4*b3
207	3,0,1,4,1	b4^3*q3_0*q4_0^4*b3
208	0,3,0,4,1	q2_0^3*q4_0^4*b3
209	2,2,0,4,1	b4^2*q2_0^2*q4_0^4*b3
210	4,1,0,4,1	b4^4*q2_0*q4_0^4*b3
211	6,0,0,4,1	b4^6*q4_0^4*b3
212	1,0,3,3,1	b4*q3_0^3*q4_0^3*b3
213	0,2,2,3,1	q2_0^2*q3_0^2*q4_0^3*b3
214	2,1,2,3,1	b4^2*q2_0*q3_0^2*q4_0^3*b3
215	4,0,2,3,1	b4^4*q3_0^2*q4_0^3*b3
216	1,3,1,3,1	b4*q2_0^3*q3_0*q4_0^3*b3
217	3,2,1,3,1	b4^3*q2_0^2*q3_0*q4_0^3*b3
218	5,1,1,3,1	b4^5*q2_0*q3_0*q4_0^3*b3
219	0,5,0,3,1	q2_0^5*q4_0^3*b3
220	0,1,4,2,1	q2_0*q3_0^4*q4_0^2*b3
221	0,4,2,2,1	q2_0^4*q3_0^2*q4_0^2*b3
222	0,7,0,2,1	q2_0^7*q4_0^2*b3
223	0,0,6,1,1	q3_0^6*q4_0*b3
224	0,0,0,7,0	q4_0^7
225	5,3,0,0,3	b4^5*q2_0^3*b3^3
226	7,2,0,0,3	b4^7*q2_0^2*b3^3
227	9,1,0,0,3	b4^9*q2_0*b3^3
228	11,0,0,0,3	b4^11*b3^3
229	1,0,0,4,2	b4*q4_0^4*b3^2
230	0,1,1,3,2	q2_0*q3_0*q4_0^3*b3^2
231	2,0,1,3,2	b4^2*q3_0*q4_0^3*b3^2
232	1,2,0,3,2	b4*q2_0^2*q4_0^3*b3^2
233	3,1,0,3,2	b4^3*q2_0*q4_0^3*b3^2
234	5,0,0,3,2	b4^5*q4_0^3*b3^2
235	0,0,3,2,2	q3_0^3*q4_0^2*b3^2
236	1,1,2,2,2	b4*q2_0*q3_0^2*q4_0^2*b3^2
237	3,0,2,2,2	b4^3*q3_0^2*q4_0^2*b3^2
238	0,3,1,2,2	q2_0^3*q3_0*q4_0^2*b3^2
239	2,2,1,2,2	b4^2*q2_0^2*q3_0*q4_0^2*b3^2
240	4,1,1,2,2	b4^4*q2_0*q3_0*q4_0^2*b3^2
241	6,0,1,2,2	b4^6*q3_0*q4_0^2*b3^2
242	1,4,0,2,2	b4*q2_0^4*q4_0^2*b3^2
243	3,3,0,2,2	b4^3*q2_0^3*q4_0^2*b3^2
244	5,2,0,2,2	b4^5*q2_0^2*q4_0^2*b3^2
245	7,1,0,2,2	b4^7*q2_0*q4_0^2*b3^2
246	9,0,0,2,2	b4^9*q4_0^2*b3^2
247	1,0,4,1,2	b4*q3_0^4*q4_0*b3^2
248	0,2,3,1,2	q2_0^2*q3_0^3*q4_0*b3^2
249	2,1,3,1,2	b4^2*q2_0*q3_0^3*q4_0*b3^2
250	4,0,3,1,2	b4^4*q3_0^3*q4_0*b3^2
251	1,3,2,1,2	b4*q2_0^3*q3_0^2*q4_0*b3^2
252	3,2,2,1,2	b4^3*q2_0^2*q3_0^2*q4_0*b3^2
253	5,1,2,1,2	b4^5*q2_0*q3_0^2*q4_0*b3^2
254	7,0,2,1,2	b4^7*q3_0^2*q4_0*b3^2
255	0,5,1,1,2	q2_0^5*q3_0*q4_0*b3^2
256	2,4,1,1,2	b4^2*q2_0^4*q3_0*q4_0*b3^2
257	4,3,1,1,2	b4^4*q2_0^3*q3_0*q4_0*b3^2
258	6,2,1,1,2	b4^6*q2_0^2*q3_0*q4_0*b3^2
259	8,1,1,1,2	b4^8*q2_0*q3_0*q4_0*b3^2
260	10,0,1,1,2	b4^10*q3_0*q4_0*b3^2
261	1,6,0,1,2	b4*q2_0^6*q4_0*b3^2
262	3,5,0,1,2	b4^3*q2_0^5*q4_0*b3^2
263	5,4,0,1,2	b4^5*q2_0^4*q4_0*b3^2
264	7,3,0,1,2	b4^7*q2_0^3*q4_0*b3^2
265	9,2,0,1,2	b4^9*q2_0^2*q4_0*b3^2
266	0,1,5,0,2	q2_0*q3_0^5*b3^2
267	0,4,3,0,2	q2_0^4*q3_0^3*b3^2
268	0,7,1,0,2	q2_0^7*q3_0*b3^2
269	0,0,1,5,1	q3_0*q4_0^5*b3
270	0,2,1,4,1	q2_0^2*q3_0*q4_0^4*b3
271	0,1,3,3,1	q2_0*q3_0^3*q4_0^3*b3
272	0,4,1,3,1	q2_0^4*q3_0*q4_0^3*b3
273	0,0,5,2,1	q3_0^5*q4_0^2*b3
274	0,1,0,1,4	q2_0*q4_0*b3^4
275	2,0,0,1,4	b4^2*q4_0*b3^4
276	0,0,2,0,4	q3_0^2*b3^4
277	1,1,1,0,4	b4*q2_0*q3_0*b3^4
278	3,0,1,0,4	b4^3*q3_0*b3^4
279	0,3,0,0,4	q2_0^3*b3^4
280	2,2,0,0,4	b4^2*q2_0^2*b3^4
281	4,1,0,0,4	b4^4*q2_0*b3^4
282	6,0,0,0,4	b4^6*b3^4
283	0,0,0,3,3	q4_0^3*b3^3
284	1,0,1,2,3	b4*q3_0*q4_0^2*b3^3
285	0,2,0,2,3	q2_0^2*q4_0^2*b3^3
286	2,1,0,2,3	b4^2*q2_0*q4_0^2*b3^3
287	4,0,0,2,3	b4^4*q4_0^2*b3^3
288	0,1,2,1,3	q2_0*q3_0^2*q4_0*b3^3
289	2,0,2,1,3	b4^2*q3_0^2*q4_0*b3^3
290	1,2,1,1,3	b4*q2_0^2*q3_0*q4_0*b3^3
291	3,1,1,1,3	b4^3*q2_0*q3_0*q4_0*b3^3
292	5,0,1,1,3	b4^5*q3_0*q4_0*b3^3
293	0,4,0,1,3	q2_0^4*q4_0*b3^3
294	2,3,0,1,3	b4^2*q2_0^3*q4_0*b3^3
295	4,2,0,1,3	b4^4*q2_0^2*q4_0*b3^3
296	6,1,0,1,3	b4^6*q2_0*q4_0*b3^3
297	8,0,0,1,3	b4^8*q4_0*b3^3
298	0,0,4,0,3	q3_0^4*b3^3
299	1,1,3,0,3	b4*q2_0*q3_0^3*b3^3
300	3,0,3,0,3	b4^3*q3_0^3*b3^3
301	0,3,2,0,3	q2_0^3*q3_0^2*b3^3
302	2,2,2,0,3	b4^2*q2_0^2*q3_0^2*b3^3
303	4,1,2,0,3	b4^4*q2_0*q3_0^2*b3^3
304	6,0,2,0,3	b4^6*q3_0^2*b3^3
305	1,4,1,0,3	b4*q2_0^4*q3_0*b3^3
306	3,3,1,0,3	b4^3*q2_0^3*q3_0*b3^3
307	5,2,1,0,3	b4^5*q2_0^2*q3_0*b3^3
308	7,1,1,0,3	b4^7*q2_0*q3_0*b3^3
309	9,0,1,0,3	b4^9*q3_0*b3^3
310	0,6,0,0,3	q2_0^6*b3^3
311	2,5,0,0,3	b4^2*q2_0^5*b3^3
312	4,4,0,0,3	b4^4*q2_0^4*b3^3
313	0,1,0,4,2	q2_0*q4_0^4*b3^2
314	0,0,2,3,2	q3_0^2*q4_0^3*b3^2
315	0,3,0,3,2	q2_0^3*q4_0^3*b3^2
316	0,2,2,2,2	q2_0^2*q3_0^2*q4_0^2*b3^2
317	0,5,0,2,2	q2_0^5*q4_0^2*b3^2
318	0,1,4,1,2	q2_0*q3_0^4*q4_0*b3^2
319	0,4,2,1,2	q2_0^4*q3_0^2*q4_0*b3^2
320	0,7,0,1,2	q2_0^7*q4_0*b3^2
321	0,0,6,0,2	q3_0^6*b3^2
322	0,0,0,6,1	q4_0^6*b3
323	0,0,4,3,1	q3_0^4*q4_0^3*b3
324	1,0,0,0,5	b4*b3^5
325	0,0,1,1,4	q3_0*q4_0*b3^4
326	0,2,1,0,4	q2_0^2*q3_0*b3^4
327	0,1,1,2,3	q2_0*q3_0*q4_0^2*b3^3
328	0,0,3,1,3	q3_0^3*q4_0*b3^3
329	0,3,1,1,3	q2_0^3*q3_0*q4_0*b3^3
330	0,2,3,0,3	q2_0^2*q3_0^3*b3^3
331	0,5,1,0,3	q2_0^5*q3_0*b3^3
332	0,0,1,4,2	q3_0*q4_0^4*b3^2
333	0,0,5,1,2	q3_0^5*q4_0*b3^2
334	0,1,0,0,5	q2_0*b3^5
335	0,0,0,2,4	q4_0^2*b3^4
336	0,0,2,2,3	q3_0^2*q4_0^2*b3^3
337	0,0,0,5,2	q4_0^5*b3^2
338	0,0,1,0,5	q3_0*b3^5
339	0,0,0,1,5	q4_0*b3^5
340	0,0,0,0,6	b3^6
