kind	key	coordinate	coefficient_exact
derivative-only	('g', 'F0', -6, 0)	p82	(-658330445/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p83	(-510613890/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p84	(-181400285/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p85	(-133118895/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p86	(-68846985/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p87	(-3774482885/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p88	(-3515749130/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p89	(-5090319955/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p90	(-3142798620/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p91	(-2542101570/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p92	(-2064347145/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p93	(-1341516890/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p94	(-386822555/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p95	(-265916140/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p96	(-31576839790/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p97	(-31091448105/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p98	(-17869418880/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p99	(-14610198725/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p100	(-5800929860/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p101	(-3421168170/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p102	(-1827690920/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p103	(292783050/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p104	(-83415851475/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p105	(-12163738155/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p106	(-18810031120/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p107	(34968743895/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p108	(15544726940/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p109	(10626670590/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p110	(4960882210/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p111	(340286838010/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p112	(1100742976235/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p113	(369366632240/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p114	(499303459195/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p115	(202671503205/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p116	(10243471130/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p117	(4736346414900/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p118	(2795911205015/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p119	(1811282437365/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p120	(497229599445/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p121	(49965308145/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p122	(11143165180685/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p123	(3096419042465/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p124	(-268018869365/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p125	(299452316485/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p126	(-8770587994845/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p127	(-2348078886295/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p128	(-3053114252155/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p129	(-35382857018190/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p130	(-17668650089465/2)*S^0|0|0
derivative-only	('g', 'F0', -6, 0)	p131	(-2672758425150/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	constant	(-8972140204631250/1)*S^0+(-15300349910175000/1)*S^1+(449224893150000/1)*S^2+(4425246773268750/1)*S^3+(3529560136162500/1)*S^4+(332426739150000/1)*S^5|0|0
derivative-only	('g', 'F0', -6, 5)	p47	(-93750/1)*S^0|0|0
derivative-only	('g', 'F0', -6, 5)	p53	(-656250/1)*S^0|0|0
