X_power	W_power	literal_terms	semantic_degree	sha256
2	18	2296	4	8b8ba090b1d653e855bb514fa794dc7b4b375170d2d5319195bf28f3da89b001
3	17	2221	4	68119c7583af6a98b5f8efd4b59d34d42759837a44749005bef7ef049751d72d
4	16	1788	4	17ada1358e6e356342c62f0b16e5754ab15b1ba23b7b584039a925fc3c982827
5	15	996	4	a50ec1f4b0eda819ee772e4277f424e8198b3498d400a088bf2996e339cd0f8b
6	14	255	4	d278cd7571a513355099dd940e26077f0a5601edc4ea7b76df028b968341bb6d
0	21	1320	4	6c229548e4bf5537d932821c830a0829e99fc0157d228fd6057d2a5a789d278e
1	20	2106	4	b7686cf5f8c737beb42b3d7f01cd1d44bbec70d18eebcbc81321d17e3365aed3
2	19	2568	4	bb6cdb10002070e8917db7310df7178a303cf4da06976f239eb27941c83831c8
3	18	2594	4	6c2e5dfc3d48cab2b2ae34ee9b5619f0d9f5e8534ca5739a04de2e1ddfe8c274
4	17	2144	4	6856f5f74fe8f7f3b79a28411b74685c5ec49ed1de97ee66c983ca7cd3b5e26c
5	16	1367	4	7f8b82ba5f497a9b35c363cd3597a2ab941ee58bb6c1293f18069bfb3f73af30
6	15	484	4	3853ec0c7cb46f32c4679d7f33aa7777a7655888cfc78c76d8125530aa861184
7	14	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	22	1431	4	58118301cd6735fb3fe90cb79df95e96ce631bccda3b6cd7483e020d72df3958
1	21	2265	4	01abfec2672ffcd1d29d91ad8f974e708471cc83aad8d924db34c631d7666089
2	20	2761	4	744d1860d846b524261614a7c54b4353c844610f4de7e0eb4e3a53ff9951a18b
3	19	2804	4	c535aff3f3adfea3976d5f00e5ec0e1d576e6d7655898b66d6b7b16531726286
4	18	2523	4	547faf77d439068be0f3ce3e66545cd7f9daa22e7515dd654df2952562330d3c
5	17	1538	4	78ac86dcf08c4d346d73cad6b87b4d81436669e4a4096f046f7f2d2a606ebeeb
6	16	752	4	efe7d61a1a54f731278d5d38cc7c1582a45de7be4553cb0bb540b2319868dbbf
7	15	56	3	b287d63b4b58b23f1adfdc6dfda62e301d1c80ae4324deca3adc387339a8eaf0
0	23	1548	4	40bd0b4d467e4a940dc9456990c5f253ef13a1557c26a41ec6332c76a3c5d54b
1	22	2514	4	01bda0f1ddbd7144d47fda8080cbf263db78a608ce84be7e684e571a9f21ad4a
2	21	3153	4	e1c2ec44e674349d0cae020d203ccfae4fd63d8000581f2ec557f67189aa6f75
3	20	3322	4	db486242752ab6db63e0d0d9aaa693c511e1adfa5b591c590c4bdec377ee0d96
4	19	2753	4	8cac74dd56dac2591c2c84995dd547d0425dcbefa4af275eb4394cd93e33c8fa
5	18	2141	4	65ba448137c0230695a8d081bbe3671388cd954b07deebd595340350310e4e0e
6	17	1076	4	2ceffce18251b09fdedc0b2d81927bbb15c4c8ed3b9571a44ec6ba04348906b2
7	16	183	4	03cd0019e51cd2afc41a2494822f8dc5e6dc43c4ba012f0a08a43e15aecc1f17
0	24	1668	4	9153a28de2f34ad7fb3c4db1a0ed128cddfe3f766e069a394255662270d077df
1	23	2688	4	e661e900e10fe50db0634e2aab1039c095b839e1b4804be0d0d3247e2d5350eb
2	22	3466	4	ecaf9a6eb987d0b11ccfe8cd22bbeb04e502fa5cfe52ed5cb1ba9384a4fbb814
3	21	3668	4	01b3c41b18f8b2ae486beec7443337f14c77e2ea6c8d7e0bc3f1252ede0cf83d
4	20	3384	4	6bcc75094010d7e34ce5483e0273c4012e56c2d1dfdb4dc97a3ea0d4985aceab
5	19	2544	4	66283164e9b9f15f1dfdf67cb8301655d04d4e4dd5e5353d14f6d93494887134
6	18	1462	4	caf4ea8dfea1e31e266f06a0fdaab64296c94d562a7f2b59a7c93b82edd752b7
7	17	336	4	959fd1d549219c7eb0c417c625b607d4ae2fe6f3fe6f70c20c1e14e4937ba55f
0	25	1794	4	92da5ea9070b0b32388703e0a0cf31dc0fdb7c3d42479983aed2988567eb5acd
1	24	2958	4	a10302e4509465922d0e589a838bf0ffc4d6045befa218574e62ef376f41bee5
2	23	3696	4	8113f54a785342b0724e7b064df72cbe1eb3984532be9c8c30372f9c1ffe2449
3	22	4140	4	38a99afa65bbddaa1f8b8cfd981d91e83cf5e003fd8df171a867eb61541ff2ee
4	21	3866	4	c57d75edf03354fa7356b9d420dd3e08e36365d6fdc12c483d03a23d6413b3ca
5	20	2988	4	8db8c4f4d67801f964c6cbb00000c3acea658b6e4ba6dd7641136e0f06f9ae98
6	19	1937	4	6f4a234f6848d6568ffdc5bae5aceb15bc18cbb97f80dcbba4ccded110b8ea49
7	18	658	4	4867082fc9cd6e823992453aac367d8b88023a814f64ed8b1d948724a827cc6c
8	17	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	26	1923	4	eecb0c9909d6e5b81bf36bc02a25d970e3a7f9f4cb55f52a32ac0e4fd8c1b150
1	25	3147	4	0a821f3a432d19a6b5bc34080d7dfc64d3856a9318c34807e30a8f7f30fb18c4
2	24	4141	4	d6561e8396e8088a66aeffa255955196febb9bc6fc436ef3a14bbea1e2dc0631
3	23	4410	4	0c5ca519a034d194ca1ff3907f16fde919e4859ff52b1648cfad3c8e453c77cf
4	22	4371	4	4957d94f3b7cd711e242a6b5cf7b5f327bcfff7745f4b8495bdb7aba87b78439
5	21	3564	4	858cef83d501f11dc7937faf83a7483b0029321757f2bc707e58bbe10c74cc40
6	20	2167	4	4eb91f280700cd9aed58dec04778acc1ac80ad00fab889e06dd18ce887902b0e
7	19	942	4	13b120189f7ce67d3bc6e9fb908494647c73c4f23452d41801226fc27b8240af
8	18	69	3	f055e13ca0236244b82b9495c171a0828857ad64e97b0922f8881cfc294a85a2
0	27	2058	4	0edaee69bb0667884657bf6c6e1fe4d3fbe5244021082e85b12f137f6fda5869
1	26	3438	4	12e7bc3c83aef092e1d98cc33788dca80de2d601e66b2c442a19be3606a76792
2	25	4503	4	326fed3551872f9feb5dfba4f04ef71dcd8b948a9e991677e99218f11af2a86f
3	24	5048	4	44d0502ad39b4093c43830e9ee79371db8ed2aaf73d41790bbd4f478c13bda11
4	23	4916	4	dbeb19d3d01b3704763b2a92b84b660af4b14d69340fb7c500f01f46ff9e4325
5	22	4193	4	351cd8d071c7e8077f5daba9c7e7e96978f82b4be2a5c0c065f7f40d7912ef87
6	21	2991	4	22350aad55af86b3b7b2bdc66baeac3cc59aef8031e45156db678e421205e1ff
7	20	1488	4	a634958fa2b46dd59d9ba5ad6187ea8d0e2a261a56dcb7b86c62a477a55fbe1f
8	19	231	4	63e58a2ad98b902dc5bc9749a0a994268191fb3f3bd8ec47776b5996e94009c4
0	28	2196	4	dcfe7197baecde5aacc8c6064af5b42418bb9f6132d6eed5a1ad2ff4f44bf611
1	27	3642	4	e21ec359033a10492d0eb74d2923177c9aa2ec28a227864a466ed8182f6b33e8
2	26	4762	4	daa3878d8d0fc08bcdd3358b88bbb8ca78ed529f7e667a61e86be9d6e460ec9c
3	25	5475	4	363fb5d50b4b822f657fa9f35d9fb6c957fdf0eb3548157d0632b74645ef8e81
4	24	5235	4	6c03cb1022ad72a1c21b6ae7117a9e213522ec6073e07a74533383982af93ec1
5	23	4513	4	09c1a08dc1dafc9792f1b81043148fefa9614f80bd675070c490a7416c7b2eb2
6	22	3597	4	68b4b2d0e9c788b93d18f75d9b5e91b2a8512bb49b490c54e945e5e330df715d
7	21	1968	4	0eb085d83c328718c0d9e5db6b981affce799eab50bdd2a5c33734c490e20d5e
8	20	446	4	5cfd1d3741958f2a06ce965d57529cead16d8883009aef500e88f08b6cfd4bf0
0	29	2340	4	66baae40776d27c4d29af294c812b9e5b0e2d622d9de70b7bb41f7100554f1ed
1	28	3954	4	cbb0b6f48a0fea7e402b6847df87a8fec88574c3be9c6014b733da6c32ba0b18
2	27	5268	4	f98dcbaee1ba28376ee413f953033f984335497c5b83c40cb10e0e3163df6684
3	26	6046	4	e6375a1df7e0c3bd901da3b25f45a02cb1de253849bf5726f1d293997ba54135
4	25	6092	4	abdd96a8778909c91ddcbad9dbb12f1a5bd376e945e34f6545da59d66d3d2f9d
5	24	5471	4	be4f2c55644efcf7d9992d4b005cb02e30bce49573cbd027ee5fdfe145e506be
6	23	4261	4	45bd85d9685580bc640229c8dc3a0125cfca7119cc1fd48fae7d024f52309192
7	22	2631	4	4683bcdc3f3248ee347b5a6465477b79be82d05d0d7761754215a9e28a7206f0
8	21	865	4	bae9e0e154f1d593776f41e19e2424d26f4be7409a1d7b9a2145f35186c1d035
9	20	8	2	01cbdeb676f5a3d7c00d7403e6bcc2f47a8aa5e27c9159b2a3c422e06b846e75
0	30	2487	4	bebda0fbeeb7735bdf3d86b06c94c94c6344c3236494f9a62233393a5af2eaa3
1	29	4173	4	69a2e464a7cd89f9408716a123c2274f8f26a75bfdccb8925c9c586d7299cf65
2	28	5671	4	7c0f4eeb1d6f2f8b57f15cf4ffc870433d1a24666b36a5db6758ebd6f27ec512
3	27	6376	4	62f29789deccb06be91dd120c78cf1de681bdc1233948b32d91d697fa59c9c44
4	26	6723	4	678f883f68cff02959283d582bdc574fb2fc22d32c3d0885b3ec74e2853d603c
5	25	6108	4	081f17a911b170c3bc0451028e56192b1777076455f43a9d7312e37005dffd4d
6	24	4975	4	38995f41223fbac29d3d8637357985cd39e93679600fd0c501c696ea68f7d520
