X_power	W_power	literal_terms	semantic_degree	sha256
6	13	1160	10	83f47128da2016acc019db04fb3ab01fa7faa42b43b32a5efb24e7054115d85f
0	20	569307	26	bc37cf758cc1a253402f08c7e6c82e96c08a73a55d2432fe33e159a800320f0b
1	19	1344022	26	e3ba2a55fdd93650479ca18bae686821bb082abb01e7086b2fc72918491163e7
2	18	1973872	26	8bb60197a46087249a1faa27ff1aa38fb629dd3de9a4f99f4a9fa08439208320
3	17	1910071	26	11d121244a1e6b207fcf659be099f4eb7c7169c6d230d7b63576afcd2550b879
4	16	1192571	26	a7c486ecf428709bd5013cc8bd4dc5abd47aaaf82e8b16774eb4d8f070132e4f
5	15	297394	22	61177755b84a0645019d2690573ef381ded688676395b9be33419395f7c017fe
6	14	6681	14	ada558f32f8d5f2dd10262311724ec934c9ad3a478a2dfb4d55d6301d31af4ce
0	21	607320	26	47c104193ee65ae5bb01745dd4018d35e3e04d46c53db538570921f460ff6603
1	20	1492908	26	481f13e11e6f026f56b14477b89917cd480706b1b1a44529dcbe905c339c0849
2	19	2212577	26	974a514b8f462eb084dc7ee09b7e1045c2a13f4d1ae36ccfdff32be17d1270d0
3	18	2320451	26	92d7a51f6d7cec400eb98bb5e7e9fb8eb1f56cbd594b686ca003620e3024f97a
