D	m	M_2..M_s	s	d_s	u_s	v_s	g	resonant_j	V	row_key	Im_min_candidate	IM_max	principal_minor_floor_candidate
192	144	-72,12,78,190	5	6	2	4	2	3	2:7,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 7), (3, 16), (4, 8), (5, 4)))	2	2056/75	1
192	144	-72,12,78,190	5	6	2	4	2	3	2:22,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 22), (3, 16), (4, 8), (5, 4)))	2	2336/85	1
192	144	-72,12,78,190	5	6	2	4	2	3	2:31,3:16,4:8,5:4	(192, 144, (-72, 12, 78, 190), ((2, 31), (3, 16), (4, 8), (5, 4)))	2	14444/525	1
192	144	-72,12,114,190	5	6	2	4	2	3	2:1,3:2,4:8,5:4	(192, 144, (-72, 12, 114, 190), ((2, 1), (3, 2), (4, 8), (5, 4)))	2	3072/119	1
192	144	-72,12,114,190	5	6	2	4	2	3	2:2,3:1,4:8,5:4	(192, 144, (-72, 12, 114, 190), ((2, 2), (3, 1), (4, 8), (5, 4)))	2	3072/119	1
192	144	-72,108,174,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-72, 108, 174, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	1377/55	1
192	144	-72,108,174,190	5	6	2	4	2	3	2:1,3:11,4:8,5:4	(192, 144, (-72, 108, 174, 190), ((2, 1), (3, 11), (4, 8), (5, 4)))	2	1377/55	1
192	144	-72,108,174,190	5	6	2	4	2	3	2:3,3:11,4:8,5:4	(192, 144, (-72, 108, 174, 190), ((2, 3), (3, 11), (4, 8), (5, 4)))	2	1377/55	1
192	144	-24,-12,42,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-24, -12, 42, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	224/9	1
192	144	-24,-12,150,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-24, -12, 150, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	224/9	1
192	144	-24,132,150,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-24, 132, 150, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	242/13	1
192	144	-24,132,150,190	5	6	2	4	2	3	2:1,3:3,4:8,5:4	(192, 144, (-24, 132, 150, 190), ((2, 1), (3, 3), (4, 8), (5, 4)))	2	6506/351	1
192	144	-24,132,150,190	5	6	2	4	2	3	2:3,3:3,4:8,5:4	(192, 144, (-24, 132, 150, 190), ((2, 3), (3, 3), (4, 8), (5, 4)))	2	242/13	1
192	144	-24,132,150,190	5	6	2	4	2	3	2:4,3:3,4:8,5:4	(192, 144, (-24, 132, 150, 190), ((2, 4), (3, 3), (4, 8), (5, 4)))	2	6506/351	1
192	144	-24,132,174,190	5	6	2	4	2	3	2:1,3:16,4:8,5:4	(192, 144, (-24, 132, 174, 190), ((2, 1), (3, 16), (4, 8), (5, 4)))	2	3907/143	1
192	144	-24,132,174,190	5	6	2	4	2	3	2:3,3:16,4:8,5:4	(192, 144, (-24, 132, 174, 190), ((2, 3), (3, 16), (4, 8), (5, 4)))	2	11728/429	1
192	144	-24,132,174,190	5	6	2	4	2	3	2:7,3:16,4:8,5:4	(192, 144, (-24, 132, 174, 190), ((2, 7), (3, 16), (4, 8), (5, 4)))	2	3907/143	1
192	144	-24,132,174,190	5	6	2	4	2	3	2:13,3:16,4:8,5:4	(192, 144, (-24, 132, 174, 190), ((2, 13), (3, 16), (4, 8), (5, 4)))	2	11728/429	1
192	144	-24,132,174,190	5	6	2	4	2	3	2:23,3:16,4:8,5:4	(192, 144, (-24, 132, 174, 190), ((2, 23), (3, 16), (4, 8), (5, 4)))	2	3909/143	1
192	144	-24,132,186,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (-24, 132, 186, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	242/13	1
192	144	-24,132,186,190	5	6	2	4	2	3	2:1,3:3,4:8,5:4	(192, 144, (-24, 132, 186, 190), ((2, 1), (3, 3), (4, 8), (5, 4)))	2	240/13	1
192	144	-24,132,186,190	5	6	2	4	2	3	2:3,3:3,4:8,5:4	(192, 144, (-24, 132, 186, 190), ((2, 3), (3, 3), (4, 8), (5, 4)))	2	242/13	1
192	144	24,60,186,190	5	6	2	4	2	3	2:1,3:1,4:5,5:4	(192, 144, (24, 60, 186, 190), ((2, 1), (3, 1), (4, 5), (5, 4)))	4	100/9	1
192	144	72,108,138,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (72, 108, 138, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	98/5	1
192	144	72,108,138,190	5	6	2	4	2	3	2:1,3:5,4:8,5:4	(192, 144, (72, 108, 138, 190), ((2, 1), (3, 5), (4, 8), (5, 4)))	2	98/5	1
192	144	72,108,138,190	5	6	2	4	2	3	2:4,3:5,4:8,5:4	(192, 144, (72, 108, 138, 190), ((2, 4), (3, 5), (4, 8), (5, 4)))	2	98/5	1
192	144	72,108,174,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (72, 108, 174, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	728/33	1
192	144	72,108,174,190	5	6	2	4	2	3	2:1,3:2,4:8,5:4	(192, 144, (72, 108, 174, 190), ((2, 1), (3, 2), (4, 8), (5, 4)))	2	200/11	1
192	144	72,108,174,190	5	6	2	4	2	3	2:4,3:2,4:8,5:4	(192, 144, (72, 108, 174, 190), ((2, 4), (3, 2), (4, 8), (5, 4)))	2	728/33	1
192	144	120,132,150,190	5	6	2	4	2	3	2:1,3:1,4:8,5:4	(192, 144, (120, 132, 150, 190), ((2, 1), (3, 1), (4, 8), (5, 4)))	2	434/39	1
192	144	120,132,150,190	5	6	2	4	2	3	2:1,3:3,4:8,5:4	(192, 144, (120, 132, 150, 190), ((2, 1), (3, 3), (4, 8), (5, 4)))	2	434/39	1
192	144	120,132,150,190	5	6	2	4	2	3	2:2,3:3,4:8,5:4	(192, 144, (120, 132, 150, 190), ((2, 2), (3, 3), (4, 8), (5, 4)))	2	434/39	1
200	120	20,150,198	4	10	2	8	2	5	2:1,3:3,4:8	(200, 120, (20, 150, 198), ((2, 1), (3, 3), (4, 8)))	4	402/13	3
200	120	20,150,198	4	10	2	8	2	5	2:2,3:1,4:8	(200, 120, (20, 150, 198), ((2, 2), (3, 1), (4, 8)))	4	402/13	3
