source_index|h_power|x_power|y_power|expr
32|0|0|4|-6*h_0_5*h_1_2*h_0_0*bp^2+6*h_1_7*h_0_0^2*bp^2-3*h_0_5*h_1_3*bp^3-3*h_0_6*h_1_2*bp^3+3*h_1_7*h_0_1*bp^3+3*h_1_8*h_0_0*bp^3-3*h_1_6*bp^2*bq-6*h_0_4*a2*bq^2+6*h_0_5*h_0_1*bp*br-36*h_0_6*h_0_0*bp*br+15*h_0_7*bp^2*br-6*h_1_6*h_0_0*bp*bs-12*h_0_4*bq^2-6*h_1_3*bq^2-42*h_0_4*bq*br-6*h_1_4*bq*bs+30*h_0_5*br*bs
33|0|0|3|-6*h_0_4*h_1_2*h_0_0*bp^2+6*h_1_6*h_0_0^2*bp^2-3*h_0_4*h_1_3*bp^3-3*h_0_5*h_1_2*bp^3+3*h_1_6*h_0_1*bp^3+3*h_1_7*h_0_0*bp^3-3*h_1_5*bp^2*bq-6*h_0_3*a2*bq^2+6*h_0_4*h_0_1*bp*br-30*h_0_5*h_0_0*bp*br+12*h_0_6*bp^2*br-6*h_1_5*h_0_0*bp*bs-12*h_0_3*bq^2-6*h_1_2*bq^2-48*h_0_3*bq*br-6*h_1_3*bq*bs+24*h_0_4*br*bs
34|0|0|2|-6*h_0_3*h_1_2*h_0_0*bp^2+6*h_1_5*h_0_0^2*bp^2-3*h_0_3*h_1_3*bp^3-3*h_0_4*h_1_2*bp^3+3*h_1_5*h_0_1*bp^3+3*h_1_6*h_0_0*bp^3-3*h_1_4*bp^2*bq-6*h_0_2*a2*bq^2+6*h_0_3*h_0_1*bp*br-24*h_0_4*h_0_0*bp*br+9*h_0_5*bp^2*br-6*h_1_4*h_0_0*bp*bs-12*h_0_2*bq^2-54*h_0_2*bq*br-6*h_1_2*bq*bs+18*h_0_3*br*bs
35|0|0|1|-6*h_0_2*h_1_2*h_0_0*bp^2+6*h_1_4*h_0_0^2*bp^2-3*h_1_3*h_0_2*bp^3-3*h_0_3*h_1_2*bp^3+3*h_1_4*h_0_1*bp^3+3*h_1_5*h_0_0*bp^3-3*h_1_3*bp^2*bq-6*h_0_1*a2*bq^2+6*h_0_2*h_0_1*bp*br-18*h_0_3*h_0_0*bp*br+6*h_0_4*bp^2*br-6*h_1_3*h_0_0*bp*bs-12*h_0_1*bq^2-60*h_0_1*bq*br+12*h_0_2*br*bs
36|0|0|0|-6*h_1_2*h_0_1*h_0_0*bp^2+6*h_1_3*h_0_0^2*bp^2-3*h_0_2*h_1_2*bp^3+3*h_1_4*h_0_0*bp^3-3*h_1_2*bp^2*bq-6*h_0_0*a2*bq^2+6*h_0_1^2*bp*br-12*h_0_2*h_0_0*bp*br+3*h_0_3*bp^2*br-6*h_1_2*h_0_0*bp*bs-12*h_0_0*bq^2-66*h_0_0*bq*br+6*h_0_1*br*bs
37|1|3|6|-66*a2*bp*br
38|1|2|7|132*a2*bp*br+66*bp*br
39|1|2|6|-9*h_0_1*a2*bp^2+60*h_2_8*bp*br-18*a2*bp*bs
40|1|2|5|18*h_0_0*a2*bp^2+54*h_2_7*bp*br
41|1|2|4|9*a2*bp^3+48*h_2_6*bp*br
42|1|2|3|42*h_2_5*bp*br
43|1|1|8|-66*a2*bp*br-132*bp*br
44|1|1|7|12*h_0_1*a2*bp^2+6*h_0_1*bp^2+60*h_1_9*bp*br+24*a2*bp*bs+12*bp*bs
