snapshot_utc=2026-08-27T18:31:41Z
               total        used        free      shared  buff/cache   available
Mem:     532329013248  5150863360 528422834176     3080192  2767650816 527178149888
Swap:              0           0           0
    PID    PPID STAT ELAPSED   RSS %CPU COMMAND         COMMAND
    304       2 I<    246708     0  0.0 kworker/47:0H-e [kworker/47:0H-events_highpri]
    305       2 S     246708     0  0.0 cpuhp/48        [cpuhp/48]
    306       2 S     246708     0  0.0 idle_inject/48  [idle_inject/48]
    307       2 S     246708     0  0.0 migration/48    [migration/48]
    308       2 S     246708     0  0.0 ksoftirqd/48    [ksoftirqd/48]
    310       2 I<    246708     0  0.0 kworker/48:0H-e [kworker/48:0H-events_highpri]
    311       2 S     246708     0  0.0 rcu_exp_par_gp_ [rcu_exp_par_gp_kthread_worker/4]
    312       2 S     246708     0  0.0 cpuhp/49        [cpuhp/49]
    313       2 S     246708     0  0.0 idle_inject/49  [idle_inject/49]
    314       2 S     246708     0  0.0 migration/49    [migration/49]
    315       2 S     246708     0  0.0 ksoftirqd/49    [ksoftirqd/49]
    317       2 I<    246708     0  0.0 kworker/49:0H-e [kworker/49:0H-events_highpri]
    318       2 S     246708     0  0.0 cpuhp/50        [cpuhp/50]
    319       2 S     246708     0  0.0 idle_inject/50  [idle_inject/50]
    320       2 S     246708     0  0.0 migration/50    [migration/50]
    321       2 S     246708     0  0.0 ksoftirqd/50    [ksoftirqd/50]
    323       2 I<    246708     0  0.0 kworker/50:0H-e [kworker/50:0H-events_highpri]
    324       2 S     246708     0  0.0 cpuhp/51        [cpuhp/51]
    325       2 S     246708     0  0.0 idle_inject/51  [idle_inject/51]
    326       2 S     246708     0  0.0 migration/51    [migration/51]
    327       2 S     246708     0  0.0 ksoftirqd/51    [ksoftirqd/51]
    329       2 I<    246708     0  0.0 kworker/51:0H-e [kworker/51:0H-events_highpri]
    330       2 S     246708     0  0.0 cpuhp/52        [cpuhp/52]
    331       2 S     246708     0  0.0 idle_inject/52  [idle_inject/52]
    332       2 S     246708     0  0.0 migration/52    [migration/52]
    333       2 S     246708     0  0.0 ksoftirqd/52    [ksoftirqd/52]
    335       2 I<    246708     0  0.0 kworker/52:0H-e [kworker/52:0H-events_highpri]
    336       2 S     246708     0  0.0 cpuhp/53        [cpuhp/53]
    337       2 S     246708     0  0.0 idle_inject/53  [idle_inject/53]
    338       2 S     246708     0  0.0 migration/53    [migration/53]
    339       2 S     246708     0  0.0 ksoftirqd/53    [ksoftirqd/53]
    341       2 I<    246708     0  0.0 kworker/53:0H-e [kworker/53:0H-events_highpri]
    342       2 S     246708     0  0.0 cpuhp/54        [cpuhp/54]
    343       2 S     246708     0  0.0 idle_inject/54  [idle_inject/54]
    344       2 S     246708     0  0.0 migration/54    [migration/54]
    345       2 S     246708     0  0.0 ksoftirqd/54    [ksoftirqd/54]
    347       2 I<    246708     0  0.0 kworker/54:0H-e [kworker/54:0H-events_highpri]
    348       2 S     246708     0  0.0 cpuhp/55        [cpuhp/55]
    349       2 S     246708     0  0.0 idle_inject/55  [idle_inject/55]
    350       2 S     246708     0  0.0 migration/55    [migration/55]
    351       2 S     246708     0  0.0 ksoftirqd/55    [ksoftirqd/55]
    353       2 I<    246708     0  0.0 kworker/55:0H-e [kworker/55:0H-events_highpri]
    354       2 S     246708     0  0.0 cpuhp/56        [cpuhp/56]
    355       2 S     246708     0  0.0 idle_inject/56  [idle_inject/56]
    356       2 S     246708     0  0.0 migration/56    [migration/56]
    357       2 S     246708     0  0.0 ksoftirqd/56    [ksoftirqd/56]
    359       2 I<    246708     0  0.0 kworker/56:0H-e [kworker/56:0H-events_highpri]
    360       2 S     246708     0  0.0 cpuhp/57        [cpuhp/57]
    361       2 S     246708     0  0.0 idle_inject/57  [idle_inject/57]
    362       2 S     246708     0  0.0 migration/57    [migration/57]
    363       2 S     246708     0  0.0 ksoftirqd/57    [ksoftirqd/57]
    365       2 I<    246708     0  0.0 kworker/57:0H-e [kworker/57:0H-events_highpri]
    366       2 S     246708     0  0.0 cpuhp/58        [cpuhp/58]
    367       2 S     246708     0  0.0 idle_inject/58  [idle_inject/58]
    368       2 S     246708     0  0.0 migration/58    [migration/58]
    369       2 S     246708     0  0.0 ksoftirqd/58    [ksoftirqd/58]
    371       2 I<    246708     0  0.0 kworker/58:0H-e [kworker/58:0H-events_highpri]
    372       2 S     246708     0  0.0 cpuhp/59        [cpuhp/59]
    373       2 S     246708     0  0.0 idle_inject/59  [idle_inject/59]
    374       2 S     246708     0  0.0 migration/59    [migration/59]
    375       2 S     246708     0  0.0 ksoftirqd/59    [ksoftirqd/59]
    377       2 I<    246708     0  0.0 kworker/59:0H-e [kworker/59:0H-events_highpri]
    378       2 S     246708     0  0.0 cpuhp/60        [cpuhp/60]
    379       2 S     246708     0  0.0 idle_inject/60  [idle_inject/60]
    380       2 S     246708     0  0.0 migration/60    [migration/60]
    381       2 S     246708     0  0.0 ksoftirqd/60    [ksoftirqd/60]
    383       2 I<    246708     0  0.0 kworker/60:0H-e [kworker/60:0H-events_highpri]
    384       2 S     246708     0  0.0 cpuhp/61        [cpuhp/61]
    385       2 S     246708     0  0.0 idle_inject/61  [idle_inject/61]
    386       2 S     246708     0  0.0 migration/61    [migration/61]
    387       2 S     246708     0  0.0 ksoftirqd/61    [ksoftirqd/61]
    389       2 I<    246708     0  0.0 kworker/61:0H-e [kworker/61:0H-events_highpri]
    390       2 S     246708     0  0.0 cpuhp/62        [cpuhp/62]
    391       2 S     246708     0  0.0 idle_inject/62  [idle_inject/62]
    392       2 S     246708     0  0.0 migration/62    [migration/62]
    393       2 S     246708     0  0.0 ksoftirqd/62    [ksoftirqd/62]
    395       2 I<    246708     0  0.0 kworker/62:0H-e [kworker/62:0H-events_highpri]
    396       2 S     246708     0  0.0 cpuhp/63        [cpuhp/63]
    397       2 S     246708     0  0.0 idle_inject/63  [idle_inject/63]
    398       2 S     246708     0  0.0 migration/63    [migration/63]
    399       2 S     246708     0  0.0 ksoftirqd/63    [ksoftirqd/63]
    401       2 I<    246708     0  0.0 kworker/63:0H-e [kworker/63:0H-events_highpri]
    402       2 S     246708     0  0.0 kdevtmpfs       [kdevtmpfs]
    403       2 I<    246708     0  0.0 kworker/R-inet_ [kworker/R-inet_frag_wq]
    404       2 I     246708     0  0.0 rcu_tasks_rude_ [rcu_tasks_rude_kthread]
    405       2 I     246708     0  0.0 rcu_tasks_trace [rcu_tasks_trace_kthread]
    406       2 S     246708     0  0.0 kauditd         [kauditd]
    407       2 S     246708     0  0.0 khungtaskd      [khungtaskd]
    409       2 S     246708     0  0.0 oom_reaper      [oom_reaper]
    411       2 I<    246708     0  0.0 kworker/R-write [kworker/R-writeback]
    412       2 S     246708     0  0.0 kcompactd0      [kcompactd0]
    413       2 SN    246708     0  0.0 ksmd            [ksmd]
    414       2 SN    246708     0  0.0 khugepaged      [khugepaged]
    415       2 I<    246708     0  0.0 kworker/R-kbloc [kworker/R-kblockd]
    416       2 I<    246708     0  0.0 kworker/R-blkcg [kworker/R-blkcg_punt_bio]
    417       2 I<    246708     0  0.0 kworker/R-kinte [kworker/R-kintegrityd]
    418       2 S     246708     0  0.0 irq/9-acpi      [irq/9-acpi]
    420       2 I<    246708     0  0.0 kworker/R-tpm_d [kworker/R-tpm_dev_wq]
    421       2 I<    246708     0  0.0 kworker/R-ata_s [kworker/R-ata_sff]
    422       2 I<    246708     0  0.0 kworker/R-md    [kworker/R-md]
    423       2 I<    246708     0  0.0 kworker/R-md_bi [kworker/R-md_bitmap]
    424       2 I<    246708     0  0.0 kworker/R-edac- [kworker/R-edac-poller]
    425       2 I<    246708     0  0.0 kworker/R-devfr [kworker/R-devfreq_wq]
    426       2 S     246708     0  0.0 watchdogd       [watchdogd]
    427       2 I     246708     0  0.0 kworker/28:1-ev [kworker/28:1-events]
    428       2 I<    246708     0  0.0 kworker/R-quota [kworker/R-quota_events_unbound]
    429       2 I<    246708     0  0.0 kworker/0:1H-kb [kworker/0:1H-kblockd]
    431       2 S     246708     0  0.0 kswapd0         [kswapd0]
    432       2 S     246708     0  0.0 ecryptfs-kthrea [ecryptfs-kthread]
    433       2 I<    246708     0  0.0 kworker/R-kthro [kworker/R-kthrotld]
    434       2 I<    246708     0  0.0 kworker/R-acpi_ [kworker/R-acpi_thermal_pm]
    435       2 I<    246708     0  0.0 kworker/R-nvme- [kworker/R-nvme-wq]
    436       2 I<    246708     0  0.0 kworker/R-nvme- [kworker/R-nvme-reset-wq]
    437       2 I<    246708     0  0.0 kworker/R-nvme- [kworker/R-nvme-delete-wq]
    438       2 I<    246708     0  0.0 kworker/R-nvme- [kworker/R-nvme-auth-wq]
    439       2 I<    246708     0  0.0 kworker/R-ena   [kworker/R-ena]
    441       2 I     246708     0  0.0 kworker/12:1-cg [kworker/12:1-cgroup_release]
    444       2 I<    246708     0  0.0 kworker/R-mld   [kworker/R-mld]
    445       2 I<    246708     0  0.0 kworker/2:1H-kb [kworker/2:1H-kblockd]
