source_index|h_power|x_power|y_power|expr
84|0|1|17|-auxP2_0_10*h_1_7-auxP2_0_11*h_1_6-auxP2_0_12*h_1_5-auxP2_1_10*h_0_7-auxP2_1_11*h_0_6-auxP2_1_12*h_0_5-auxP2_1_13*h_0_4-auxP2_1_14*h_0_3-auxP2_1_15*h_0_2-auxP2_1_9+auxP3_1_17
85|0|1|18|-auxP2_0_11*h_1_7-auxP2_0_12*h_1_6-auxP2_0_13*h_1_5-auxP2_1_10-auxP2_1_11*h_0_7-auxP2_1_12*h_0_6-auxP2_1_13*h_0_5-auxP2_1_14*h_0_4-auxP2_1_15*h_0_3+auxP3_1_18
86|0|1|19|-auxP2_0_12*h_1_7-auxP2_0_13*h_1_6-auxP2_0_14*h_1_5-auxP2_1_11-auxP2_1_12*h_0_7-auxP2_1_13*h_0_6-auxP2_1_14*h_0_5-auxP2_1_15*h_0_4+auxP3_1_19
87|0|1|20|-auxP2_0_13*h_1_7-auxP2_0_14*h_1_6-auxP2_0_15*h_1_5-auxP2_1_12-auxP2_1_13*h_0_7-auxP2_1_14*h_0_6-auxP2_1_15*h_0_5+auxP3_1_20
88|0|1|21|-auxP2_0_14*h_1_7-auxP2_0_15*h_1_6-auxP2_1_13-auxP2_1_14*h_0_7-auxP2_1_15*h_0_6+auxP3_1_21-h_1_5
89|0|1|22|-auxP2_0_15*h_1_7-auxP2_1_14-auxP2_1_15*h_0_7+auxP3_1_22-h_1_6
90|0|1|23|-auxP2_1_15+auxP3_1_23-h_1_7
91|0|2|5|-A2_1_0*h_1_5-A3_2_5+auxP3_2_5
92|0|2|6|-A2_1_0*h_1_6-A2_1_1*h_1_5-A3_2_6+auxP3_2_6
93|0|2|7|-A2_1_0*h_1_7-A2_1_1*h_1_6-A2_1_2*h_1_5-A3_2_7+auxP3_2_7
94|0|2|8|-A2_1_1*h_1_7-A2_1_2*h_1_6-A2_1_3*h_1_5+auxP3_2_8
95|0|2|9|-A2_1_2*h_1_7-A2_1_3*h_1_6-A2_1_4*h_1_5+auxP3_2_9
96|0|2|10|-A2_1_3*h_1_7-A2_1_4*h_1_6-auxP2_1_5*h_1_5-auxP2_2_10*h_0_0+auxP3_2_10
97|0|2|11|-A2_1_4*h_1_7-auxP2_1_5*h_1_6-auxP2_1_6*h_1_5-auxP2_2_10*h_0_1-auxP2_2_11*h_0_0+auxP3_2_11
98|0|2|12|-auxP2_1_5*h_1_7-auxP2_1_6*h_1_6-auxP2_1_7*h_1_5-auxP2_2_10*h_0_2-auxP2_2_11*h_0_1-auxP2_2_12*h_0_0+auxP3_2_12
99|0|2|13|-auxP2_1_6*h_1_7-auxP2_1_7*h_1_6-auxP2_1_8*h_1_5-auxP2_2_10*h_0_3-auxP2_2_11*h_0_2-auxP2_2_12*h_0_1-auxP2_2_13*h_0_0+auxP3_2_13
100|0|2|14|-auxP2_1_7*h_1_7-auxP2_1_8*h_1_6-auxP2_1_9*h_1_5-auxP2_2_10*h_0_4-auxP2_2_11*h_0_3-auxP2_2_12*h_0_2-auxP2_2_13*h_0_1-auxP2_2_14*h_0_0+auxP3_2_14
101|0|2|15|-auxP2_1_10*h_1_5-auxP2_1_8*h_1_7-auxP2_1_9*h_1_6-auxP2_2_10*h_0_5-auxP2_2_11*h_0_4-auxP2_2_12*h_0_3-auxP2_2_13*h_0_2-auxP2_2_14*h_0_1+auxP3_2_15
102|0|2|16|-auxP2_1_10*h_1_6-auxP2_1_11*h_1_5-auxP2_1_9*h_1_7-auxP2_2_10*h_0_6-auxP2_2_11*h_0_5-auxP2_2_12*h_0_4-auxP2_2_13*h_0_3-auxP2_2_14*h_0_2+auxP3_2_16
