    PID    PPID   RSS     ELAPSED COMMAND
    255       2     0    01:11:05 ksoftirqd/39
    256       2     0    01:11:05 kworker/39:0-events
    257       2     0    01:11:05 kworker/39:0H-kblockd
    258       2     0    01:11:05 cpuhp/40
    259       2     0    01:11:05 idle_inject/40
    260       2     0    01:11:05 migration/40
    261       2     0    01:11:05 ksoftirqd/40
    263       2     0    01:11:05 kworker/40:0H-kblockd
    264       2     0    01:11:05 cpuhp/41
    265       2     0    01:11:05 idle_inject/41
    266       2     0    01:11:05 migration/41
    267       2     0    01:11:05 ksoftirqd/41
    269       2     0    01:11:05 kworker/41:0H-kblockd
    270       2     0    01:11:05 cpuhp/42
    271       2     0    01:11:05 idle_inject/42
    272       2     0    01:11:05 migration/42
    273       2     0    01:11:05 ksoftirqd/42
    275       2     0    01:11:05 kworker/42:0H-kblockd
    276       2     0    01:11:05 cpuhp/43
    277       2     0    01:11:05 idle_inject/43
    278       2     0    01:11:05 migration/43
    279       2     0    01:11:05 ksoftirqd/43
    280       2     0    01:11:05 kworker/43:0-mm_percpu_wq
    281       2     0    01:11:05 kworker/43:0H-kblockd
    282       2     0    01:11:05 cpuhp/44
    283       2     0    01:11:05 idle_inject/44
    284       2     0    01:11:05 migration/44
    285       2     0    01:11:05 ksoftirqd/44
    287       2     0    01:11:05 kworker/44:0H-kblockd
    288       2     0    01:11:05 cpuhp/45
    289       2     0    01:11:05 idle_inject/45
    290       2     0    01:11:05 migration/45
    291       2     0    01:11:05 ksoftirqd/45
    293       2     0    01:11:05 kworker/45:0H-kblockd
    294       2     0    01:11:05 cpuhp/46
    295       2     0    01:11:05 idle_inject/46
    296       2     0    01:11:05 migration/46
    297       2     0    01:11:05 ksoftirqd/46
    299       2     0    01:11:05 kworker/46:0H-kblockd
    300       2     0    01:11:05 cpuhp/47
    301       2     0    01:11:05 idle_inject/47
    302       2     0    01:11:05 migration/47
    303       2     0    01:11:05 ksoftirqd/47
    305       2     0    01:11:05 kworker/47:0H-kblockd
    306       2     0    01:11:05 cpuhp/48
    307       2     0    01:11:05 idle_inject/48
    308       2     0    01:11:05 migration/48
    309       2     0    01:11:05 ksoftirqd/48
    310       2     0    01:11:05 kworker/48:0-mm_percpu_wq
    311       2     0    01:11:05 kworker/48:0H-kblockd
    312       2     0    01:11:05 rcu_exp_par_gp_kthread_worker/4
    313       2     0    01:11:05 cpuhp/49
    314       2     0    01:11:05 idle_inject/49
    315       2     0    01:11:05 migration/49
    316       2     0    01:11:05 ksoftirqd/49
    318       2     0    01:11:05 kworker/49:0H-kblockd
    319       2     0    01:11:05 cpuhp/50
    320       2     0    01:11:05 idle_inject/50
    321       2     0    01:11:05 migration/50
    322       2     0    01:11:05 ksoftirqd/50
    324       2     0    01:11:05 kworker/50:0H-kblockd
    325       2     0    01:11:05 cpuhp/51
    326       2     0    01:11:05 idle_inject/51
    327       2     0    01:11:05 migration/51
    328       2     0    01:11:05 ksoftirqd/51
    329       2     0    01:11:05 kworker/51:0-mm_percpu_wq
    330       2     0    01:11:05 kworker/51:0H-kblockd
    331       2     0    01:11:05 cpuhp/52
    332       2     0    01:11:05 idle_inject/52
    333       2     0    01:11:05 migration/52
    334       2     0    01:11:05 ksoftirqd/52
    335       2     0    01:11:05 kworker/52:0-mm_percpu_wq
    336       2     0    01:11:05 kworker/52:0H-kblockd
    337       2     0    01:11:05 cpuhp/53
    338       2     0    01:11:05 idle_inject/53
    339       2     0    01:11:05 migration/53
    340       2     0    01:11:05 ksoftirqd/53
    342       2     0    01:11:05 kworker/53:0H-kblockd
    343       2     0    01:11:05 cpuhp/54
    344       2     0    01:11:05 idle_inject/54
    345       2     0    01:11:05 migration/54
    346       2     0    01:11:05 ksoftirqd/54
    347       2     0    01:11:05 kworker/54:0-events
    348       2     0    01:11:05 kworker/54:0H-kblockd
    349       2     0    01:11:05 cpuhp/55
    350       2     0    01:11:05 idle_inject/55
    351       2     0    01:11:05 migration/55
    352       2     0    01:11:05 ksoftirqd/55
    354       2     0    01:11:05 kworker/55:0H-kblockd
    355       2     0    01:11:05 cpuhp/56
    356       2     0    01:11:05 idle_inject/56
    357       2     0    01:11:05 migration/56
    358       2     0    01:11:05 ksoftirqd/56
    359       2     0    01:11:05 kworker/56:0-mm_percpu_wq
    360       2     0    01:11:05 kworker/56:0H-kblockd
    361       2     0    01:11:05 cpuhp/57
    362       2     0    01:11:05 idle_inject/57
    363       2     0    01:11:05 migration/57
    364       2     0    01:11:05 ksoftirqd/57
    366       2     0    01:11:05 kworker/57:0H-kblockd
    367       2     0    01:11:05 cpuhp/58
    368       2     0    01:11:05 idle_inject/58
    369       2     0    01:11:05 migration/58
    370       2     0    01:11:05 ksoftirqd/58
    371       2     0    01:11:05 kworker/58:0-inode_switch_wbs
    372       2     0    01:11:05 kworker/58:0H-kblockd
    373       2     0    01:11:05 cpuhp/59
    374       2     0    01:11:05 idle_inject/59
    375       2     0    01:11:05 migration/59
    376       2     0    01:11:05 ksoftirqd/59
    377       2     0    01:11:05 kworker/59:0-mm_percpu_wq
    378       2     0    01:11:05 kworker/59:0H-kblockd
    379       2     0    01:11:05 cpuhp/60
    380       2     0    01:11:05 idle_inject/60
    381       2     0    01:11:05 migration/60
    382       2     0    01:11:05 ksoftirqd/60
    383       2     0    01:11:05 kworker/60:0-mm_percpu_wq
    384       2     0    01:11:05 kworker/60:0H-kblockd
    385       2     0    01:11:05 cpuhp/61
    386       2     0    01:11:05 idle_inject/61
    387       2     0    01:11:05 migration/61
    388       2     0    01:11:05 ksoftirqd/61
    389       2     0    01:11:05 kworker/61:0-mm_percpu_wq
    390       2     0    01:11:05 kworker/61:0H-kblockd
    391       2     0    01:11:05 cpuhp/62
    392       2     0    01:11:05 idle_inject/62
    393       2     0    01:11:05 migration/62
    394       2     0    01:11:05 ksoftirqd/62
    395       2     0    01:11:05 kworker/62:0-mm_percpu_wq
    396       2     0    01:11:05 kworker/62:0H-kblockd
    397       2     0    01:11:05 cpuhp/63
    398       2     0    01:11:05 idle_inject/63
    399       2     0    01:11:05 migration/63
    400       2     0    01:11:05 ksoftirqd/63
    402       2     0    01:11:05 kworker/63:0H-kblockd
    403       2     0    01:11:05 kdevtmpfs
    404       2     0    01:11:05 kworker/R-inet_frag_wq
    405       2     0    01:11:05 rcu_tasks_kthread
    406       2     0    01:11:05 rcu_tasks_rude_kthread
    407       2     0    01:11:05 kauditd
    408       2     0    01:11:05 khungtaskd
    410       2     0    01:11:05 oom_reaper
    412       2     0    01:11:05 kworker/R-writeback
    413       2     0    01:11:05 kcompactd0
    414       2     0    01:11:05 kworker/32:1-events
    415       2     0    01:11:05 ksmd
    416       2     0    01:11:05 khugepaged
    417       2     0    01:11:05 kworker/R-kblockd
    418       2     0    01:11:05 kworker/R-blkcg_punt_bio
    419       2     0    01:11:05 kworker/R-kintegrityd
    420       2     0    01:11:05 irq/9-acpi
    421       2     0    01:11:05 kworker/1:1-events
    422       2     0    01:11:04 kworker/R-tpm_dev_wq
    423       2     0    01:11:04 kworker/R-ata_sff
    424       2     0    01:11:04 kworker/R-md_bitmap
    425       2     0    01:11:04 kworker/R-md_llbitmap_io
    426       2     0    01:11:04 kworker/R-md_llbitmap_unplug
    427       2     0    01:11:04 kworker/R-edac-poller
    428       2     0    01:11:04 kworker/R-devfreq_wq
    429       2     0    01:11:04 watchdogd
    430       2     0    01:11:04 kworker/54:1-events
    431       2     0    01:11:04 kworker/R-quota_events_unbound
    432       2     0    01:11:04 kswapd0
    433       2     0    01:11:04 ecryptfs-kthread
    434       2     0    01:11:04 kworker/R-kthrotld
    435       2     0    01:11:04 irq/24-pciehp
    436       2     0    01:11:04 irq/25-pciehp
    437       2     0    01:11:03 irq/26-pciehp
    438       2     0    01:11:03 irq/27-pciehp
    439       2     0    01:11:03 irq/28-pciehp
    440       2     0    01:11:03 irq/29-pciehp
    441       2     0    01:11:03 irq/30-pciehp
    442       2     0    01:11:03 irq/31-pciehp
    443       2     0    01:11:03 irq/32-pciehp
    444       2     0    01:11:03 irq/33-pciehp
    445       2     0    01:11:03 irq/34-pciehp
    446       2     0    01:11:03 irq/35-pciehp
    447       2     0    01:11:03 irq/36-pciehp
    448       2     0    01:11:03 irq/37-pciehp
    449       2     0    01:11:03 irq/38-pciehp
    450       2     0    01:11:03 irq/39-pciehp
    451       2     0    01:11:03 irq/40-pciehp
    452       2     0    01:11:03 irq/41-pciehp
    453       2     0    01:11:03 irq/42-pciehp
    454       2     0    01:11:03 irq/43-pciehp
    455       2     0    01:11:03 irq/44-pciehp
    456       2     0    01:11:03 irq/45-pciehp
    457       2     0    01:11:03 irq/46-pciehp
    458       2     0    01:11:03 irq/47-pciehp
    459       2     0    01:11:03 irq/48-pciehp
    460       2     0    01:11:03 irq/49-pciehp
    461       2     0    01:11:03 irq/50-pciehp
    462       2     0    01:11:03 irq/51-pciehp
    463       2     0    01:11:03 irq/52-pciehp
    464       2     0    01:11:03 irq/53-pciehp
    465       2     0    01:11:03 irq/54-pciehp
    466       2     0    01:11:03 irq/55-pciehp
    467       2     0    01:11:03 irq/56-pciehp
    468       2     0    01:11:03 irq/57-pciehp
    469       2     0    01:11:03 irq/58-pciehp
    470       2     0    01:11:03 irq/59-pciehp
    471       2     0    01:11:03 irq/60-pciehp
    472       2     0    01:11:03 irq/61-pciehp
    473       2     0    01:11:03 irq/62-pciehp
    474       2     0    01:11:03 irq/63-pciehp
    475       2     0    01:11:03 irq/64-pciehp
    476       2     0    01:11:03 irq/65-pciehp
    477       2     0    01:11:03 irq/66-pciehp
    478       2     0    01:11:03 irq/67-pciehp
    479       2     0    01:11:03 irq/68-pciehp
    480       2     0    01:11:03 irq/69-pciehp
    481       2     0    01:11:03 irq/70-pciehp
    482       2     0    01:11:03 irq/71-pciehp
    483       2     0    01:11:03 irq/72-pciehp
    484       2     0    01:11:03 irq/73-pciehp
    485       2     0    01:11:03 irq/74-pciehp
    486       2     0    01:11:03 irq/75-pciehp
    487       2     0    01:11:03 irq/76-pciehp
    488       2     0    01:11:03 irq/77-pciehp
    489       2     0    01:11:03 irq/78-pciehp
    490       2     0    01:11:03 irq/79-pciehp
    491       2     0    01:11:03 irq/80-pciehp
    492       2     0    01:11:03 irq/81-pciehp
    493       2     0    01:11:03 irq/82-pciehp
    494       2     0    01:11:03 irq/83-pciehp
    495       2     0    01:11:03 irq/84-pciehp
    496       2     0    01:11:03 irq/85-pciehp
    497       2     0    01:11:03 irq/86-pciehp
    498       2     0    01:11:03 irq/87-pciehp
    499       2     0    01:11:03 irq/88-pciehp
    500       2     0    01:11:03 irq/89-pciehp
    501       2     0    01:11:03 kworker/R-acpi_thermal_pm
    502       2     0    01:11:03 kworker/R-nvme-wq
    503       2     0    01:11:03 kworker/R-nvme-reset-wq
    504       2     0    01:11:03 kworker/R-nvme-delete-wq
    505       2     0    01:11:03 kworker/R-nvme-auth-wq
    506       2     0    01:11:03 kworker/33:1-events
    508       2     0    01:11:03 kworker/14:1-mm_percpu_wq
    509       2     0    01:11:03 kworker/0:2-rcu_gp
    510       2     0    01:11:03 kworker/8:1-mm_percpu_wq
    511       2     0    01:11:03 kworker/40:1-events
    512       2     0    01:11:03 kworker/33:2-events
    513       2     0    01:11:03 kworker/2:1-events
    514       2     0    01:11:03 kworker/34:1-events
    515       2     0    01:11:03 kworker/12:1-events
    518       2     0    01:11:03 kworker/57:1-events
    519       2     0    01:11:03 kworker/48:1-events
    520       2     0    01:11:03 kworker/16:1-events
    521       2     0    01:11:03 kworker/5:1-events
    522       2     0    01:11:03 kworker/39:1-events
    523       2     0    01:11:03 kworker/25:1-events
    524       2     0    01:11:03 kworker/49:1-events
    525       2     0    01:11:03 kworker/35:1-events
    526       2     0    01:11:03 kworker/18:1-events
    527       2     0    01:11:03 kworker/43:1-events
    528       2     0    01:11:03 kworker/37:1-mm_percpu_wq
    529       2     0    01:11:03 kworker/17:1-events
    530       2     0    01:11:03 kworker/61:1-events
    531       2     0    01:11:03 kworker/10:1-events
    532       2     0    01:11:03 kworker/36:1-events
    533       2     0    01:11:03 kworker/29:1-events
    534       2     0    01:11:03 kworker/22:1-events
    535       2     0    01:11:03 kworker/23:1-mm_percpu_wq
    536       2     0    01:11:03 kworker/3:1-events
    537       2     0    01:11:03 kworker/11:1-mm_percpu_wq
    538       2     0    01:11:03 kworker/58:1-events
    539       2     0    01:11:03 kworker/62:1-events
    541       2     0    01:11:03 kworker/55:1-events
    542       2     0    01:11:03 kworker/28:1-mm_percpu_wq
    543       2     0    01:11:03 kworker/30:1-events
    544       2     0    01:11:03 kworker/47:1-mm_percpu_wq
    545       2     0    01:11:03 kworker/19:1-events
    547       2     0    01:11:03 kworker/56:1-events
    548       2     0    01:11:03 kworker/44:1-events
    549       2     0    01:11:03 kworker/60:1-events
    551       2     0    01:11:03 kworker/24:1-events
    552       2     0    01:11:03 kworker/38:1-mm_percpu_wq
    553       2     0    01:11:03 kworker/4:1-events
    554       2     0    01:11:03 kworker/13:1-events
    555       2     0    01:11:03 kworker/6:1-mm_percpu_wq
    556       2     0    01:11:03 kworker/20:1-mm_percpu_wq
    557       2     0    01:11:03 kworker/31:1-events
