admissible rows 48<=n<=100 (Kmin=16, full (1)-(13)): 592
  u_s=1 (Prop 6.4 automatic): 457
  u_s>=2 (hypothesis live)  : 135
  u_s<=0 (no minor disc)    : 0

AUTO  n= 72 m= 48 M=(-48, -16, 4, 70) d=(72, 24, 8, 4, 2) V=(5, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -16, 36, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -16, 44, 70) d=(72, 24, 8, 4, 2) V=(1, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -16, 44, 70) d=(72, 24, 8, 4, 2) V=(5, 6, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 8, 60, 70) d=(72, 24, 8, 4, 2) V=(3, 1, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, 32, 68, 70) d=(72, 24, 8, 4, 2) V=(1, 5, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
LIVE  n= 72 m= 48 M=(-48, 60, 70) d=(72, 24, 12, 2) V=(11, 10) d_s=12 v_s=10 u_s=2 v/u=5 ell=7 -> (12,8)
AUTO  n= 72 m= 48 M=(-48, -36, -16, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 4, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 28, 70) d=(72, 24, 12, 4, 2) V=(1, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
AUTO  n= 72 m= 48 M=(-48, -36, 28, 70) d=(72, 24, 12, 4, 2) V=(2, 9, 3) d_s=4 v_s=3 u_s=1 v/u=3 ell=1 -> (18,12)
