source	band	monomial	degree_in_auxiliaries	terms_over_Qy	expression
12	1	[0,0]	5	43	-210*a1_0*b2*q5_1 + 24*a1_0*b2 + 60*a1_0*b3*b4**2 + 150*a1_0*b3*b4*q4_1*q5_1 - 120*a1_0*b3*b4*q4_1 + 90*a1_0*b3*q2_0*q5_1 + 30*a1_0*b3*q4_1**2 - 150*a1_0*b3*q5_0*q5_1 - 180*a1_0*b4**2*q2_0*q4_1 - 60*a1_0*b4**2*q3_0 - 300*a1_0*b4**2*q4_1*q5_0 + 180*a1_0*b4*q2_0*q4_1**2 - 180*a1_0*b4*q2_0*q5_0 - 300*a1_0*b4*q4_0*q5_1 - 60*a1_0*b4*q4_0 + 300*a1_0*b4*q5_0**2 + 60*a1_0*q4_0*q4_1 - 100*a3_0*b3*q5_1 + 200*a3_0*b4**2*q4_1 - 200*a3_0*b4*q4_1**2 + 200*a3_0*b4*q5_0 + 150*a4_0*b4**2 - 150*a4_0*b4*q4_1 + 500*a5_0*b4*q5_1 - 250*a6_0*q5_1 + 350*b2*b4*q5_1 - 28*b2*b4 + 70*b2*q4_1*q5_1 - 21*b2*q4_1 + 105*b3**2*q5_1 - 14*b3**2 + 315*b3*b4**2*q4_1 + 42*b3*b4*q2_0 - 350*b3*b4*q4_1**2 + 350*b3*b4*q5_0*q5_1 - 70*b3*b4*q5_0 - 21*b3*q2_0*q4_1 + 210*b3*q3_0*q5_1 - 14*b3*q3_0 + 35*b3*q4_1**3 + 70*b3*q4_1*q5_0 + 126*b4**2*q2_0**2 + 140*b4**2*q3_0*q4_1 - 350*b4**2*q5_0**2 - 126*b4*q2_0**2*q4_1 + 420*b4*q2_0*q3_0*q5_1 + 84*b4*q2_0*q3_0 - 420*b4*q3_0*q5_0 - 210*b4*q4_0*q4_1 - 210*q2_0*q4_0*q5_1 - 42*q2_0*q4_0 + 70*q4_0*q4_1**2 + 140*q4_0*q5_0
11	1	[0,1]	5	47	-210*a1_0*b1*q5_1 + 24*a1_0*b1 + 60*a1_0*b2*b4**2 + 450*a1_0*b2*b4*q4_1*q5_1 - 180*a1_0*b2*b4*q4_1 + 270*a1_0*b2*q2_0*q5_1 + 90*a1_0*b2*q4_1**2 - 450*a1_0*b2*q5_0*q5_1 - 60*a1_0*b3*q3_0*q4_1 - 150*a1_0*b3*q4_0*q5_1 + 180*a1_0*b4*q2_0*q3_0*q4_1 + 90*a1_0*b4*q2_0*q4_0 + 120*a1_0*b4*q3_0**2 - 150*a1_0*b4*q4_0*q5_0 - 90*a1_0*q2_0*q4_0*q4_1 - 60*a1_0*q3_0*q4_0 - 300*a3_0*b2*q5_1 - 200*a3_0*b4*q3_0*q4_1 - 100*a3_0*b4*q4_0 + 100*a3_0*q4_0*q4_1 - 150*a4_0*b4*q3_0 + 75*a4_0*q4_0 + 250*a5_0*b3*q5_1 + 250*a5_0*b4*q5_0 + 125*a6_0*b4*q4_1 - 125*a6_0*q5_0 + 210*b1*b4*q5_1 - 14*b1*b4 + 210*b1*q4_1*q5_1 - 35*b1*q4_1 + 315*b2*b3*q5_1 - 42*b2*b3 + 315*b2*b4**2*q4_1 + 84*b2*b4*q2_0 - 420*b2*b4*q4_1**2 + 1050*b2*b4*q5_0*q5_1 - 210*b2*b4*q5_0 - 63*b2*q2_0*q4_1 + 490*b2*q3_0*q5_1 - 28*b2*q3_0 + 105*b2*q4_1**3 + 210*b2*q4_1*q5_0 + 210*b3*q2_0*q3_0*q5_1 + 42*b3*q2_0*q3_0 - 70*b3*q3_0*q4_1**2 - 140*b3*q3_0*q5_0 - 126*b4*q2_0**2*q3_0 + 210*b4*q2_0*q3_0*q5_0 + 105*b4*q2_0*q4_0*q4_1 + 140*b4*q3_0**2*q4_1 + 140*b4*q3_0*q4_0 + 63*q2_0**2*q4_0 - 105*q2_0*q4_0*q5_0 - 70*q3_0*q4_0*q4_1 - 35*q4_0**2
10	1	[0,2]	4	18	60*a1_0*b1*b4**2 + 450*a1_0*b1*b4*q4_1*q5_1 - 180*a1_0*b1*b4*q4_1 + 270*a1_0*b1*q2_0*q5_1 + 90*a1_0*b1*q4_1**2 - 450*a1_0*b1*q5_0*q5_1 - 210*a1_0*q5_1 + 24*a1_0 - 300*a3_0*b1*q5_1 + 315*b1*b3*q5_1 - 42*b1*b3 + 315*b1*b4**2*q4_1 + 84*b1*b4*q2_0 - 420*b1*b4*q4_1**2 + 1050*b1*b4*q5_0*q5_1 - 210*b1*b4*q5_0 - 63*b1*q2_0*q4_1 + 630*b1*q3_0*q5_1 - 42*b1*q3_0 + 105*b1*q4_1**3 + 210*b1*q4_1*q5_0 + 210*b4*q5_1 - 14*b4 + 210*q4_1*q5_1 - 35*q4_1
8	1	[1,1]	1	3	210*a1_0*q5_1 - 24*a1_0 - 210*b4*q5_1 + 14*b4 - 210*q4_1*q5_1 + 35*q4_1
7	1	[1,2]	3	15	20*a1_0*b4**2 + 150*a1_0*b4*q4_1*q5_1 - 60*a1_0*b4*q4_1 + 90*a1_0*q2_0*q5_1 + 30*a1_0*q4_1**2 - 150*a1_0*q5_0*q5_1 - 100*a3_0*q5_1 + 105*b3*q5_1 - 14*b3 + 105*b4**2*q4_1 + 28*b4*q2_0 - 140*b4*q4_1**2 + 350*b4*q5_0*q5_1 - 70*b4*q5_0 - 21*q2_0*q4_1 + 210*q3_0*q5_1 - 14*q3_0 + 35*q4_1**3 + 70*q4_1*q5_0
6	0	[0,0]	6	36	-1050*a1_0*b2*b4*q5_1 + 120*a1_0*b2*b4 - 150*a1_0*b3*b4**2*q4_1 + 450*a1_0*b3*b4*q2_0*q5_1 + 150*a1_0*b3*b4*q4_1**2 - 750*a1_0*b3*b4*q5_0*q5_1 + 450*a1_0*b4**2*q2_0*q4_1**2 - 450*a1_0*b4**2*q2_0*q5_0 + 300*a1_0*b4**2*q3_0*q4_1 - 150*a1_0*b4**2*q4_0 + 750*a1_0*b4**2*q5_0**2 + 300*a1_0*b4*q4_0*q4_1 - 500*a3_0*b3*b4*q5_1 - 500*a3_0*b4**2*q4_1**2 + 500*a3_0*b4**2*q5_0 - 375*a4_0*b4**2*q4_1 - 1250*a6_0*b4*q5_1 - 175*b1*q5_1 + 28*b1 + 350*b2*b4**2*q5_1 - 70*b2*b4*q4_1 - 350*b2*q5_0*q5_1 + 35*b2*q5_0 - 175*b3**2*b4*q5_1 - 350*b3**2*q4_1*q5_1 + 35*b3**2*q4_1 - 700*b3*b4**2*q4_1**2 + 175*b3*b4**2*q5_0 - 105*b3*b4*q2_0*q4_1 + 350*b3*b4*q3_0*q5_1 + 175*b3*b4*q4_1**3 + 350*b3*b4*q4_1*q5_0 - 350*b3*q4_0*q5_1 + 35*b3*q4_0 - 315*b4**2*q2_0**2*q4_1 + 350*b4**2*q3_0*q4_1**2 - 350*b4**2*q3_0*q5_0 - 525*b4**2*q4_0*q4_1 - 1050*b4*q2_0*q4_0*q5_1 - 210*b4*q2_0*q4_0 + 350*b4*q4_0*q4_1**2 + 700*b4*q4_0*q5_0
5	0	[0,1]	5	44	1050*a1_0*b1*b4*q5_1 - 120*a1_0*b1*b4 + 450*a1_0*b2*b3*q5_1 - 60*a1_0*b2*b3 + 150*a1_0*b2*b4**2*q4_1 - 900*a1_0*b2*b4*q2_0*q5_1 - 300*a1_0*b2*b4*q4_1**2 + 2250*a1_0*b2*b4*q5_0*q5_1 + 450*a1_0*b2*q2_0*q4_1*q5_1 + 300*a1_0*b2*q3_0*q5_1 + 150*a1_0*b2*q4_1*q5_0 - 150*a1_0*b3*q4_0*q4_1 + 450*a1_0*b4*q2_0*q4_0*q4_1 + 300*a1_0*b4*q3_0*q4_0 + 1000*a3_0*b2*b4*q5_1 - 500*a3_0*b2*q4_1*q5_1 - 500*a3_0*b4*q4_0*q4_1 - 375*a4_0*b2*q5_1 - 375*a4_0*b4*q4_0 + 625*a6_0*b3*q5_1 + 625*a6_0*b4*q5_0 - 350*b1*b4**2*q5_1 - 350*b1*b4*q4_1*q5_1 + 105*b1*b4*q4_1 + 700*b1*q5_0*q5_1 - 70*b1*q5_0 + 175*b2*b3*b4*q5_1 + 350*b2*b3*q4_1*q5_1 - 35*b2*b3*q4_1 + 700*b2*b4**2*q4_1**2 - 175*b2*b4**2*q5_0 + 210*b2*b4*q2_0*q4_1 - 700*b2*b4*q3_0*q5_1 - 350*b2*b4*q4_1**3 - 700*b2*b4*q4_1*q5_0 - 315*b2*q2_0**2*q5_1 - 105*b2*q2_0*q5_0 + 350*b2*q3_0*q4_1*q5_1 + 875*b2*q4_0*q5_1 - 70*b2*q4_0 + 175*b2*q4_1**2*q5_0 + 350*b2*q5_0**2 + 525*b3*q2_0*q4_0*q5_1 + 105*b3*q2_0*q4_0 - 175*b3*q4_0*q4_1**2 - 350*b3*q4_0*q5_0 - 315*b4*q2_0**2*q4_0 + 525*b4*q2_0*q4_0*q5_0 + 350*b4*q3_0*q4_0*q4_1 + 175*b4*q4_0**2 + 175*q5_1 - 28
4	0	[0,2]	5	29	90*a1_0*b1*b3*q5_1 - 12*a1_0*b1*b3 + 30*a1_0*b1*b4**2*q4_1 - 180*a1_0*b1*b4*q2_0*q5_1 - 60*a1_0*b1*b4*q4_1**2 + 450*a1_0*b1*b4*q5_0*q5_1 + 90*a1_0*b1*q2_0*q4_1*q5_1 + 60*a1_0*b1*q3_0*q5_1 + 30*a1_0*b1*q4_1*q5_0 + 210*a1_0*b4*q5_1 - 24*a1_0*b4 + 200*a3_0*b1*b4*q5_1 - 100*a3_0*b1*q4_1*q5_1 - 75*a4_0*b1*q5_1 + 35*b1*b3*b4*q5_1 + 70*b1*b3*q4_1*q5_1 - 7*b1*b3*q4_1 + 140*b1*b4**2*q4_1**2 - 35*b1*b4**2*q5_0 + 42*b1*b4*q2_0*q4_1 - 140*b1*b4*q3_0*q5_1 - 70*b1*b4*q4_1**3 - 140*b1*b4*q4_1*q5_0 - 63*b1*q2_0**2*q5_1 - 21*b1*q2_0*q5_0 + 70*b1*q3_0*q4_1*q5_1 + 245*b1*q4_0*q5_1 - 21*b1*q4_0 + 35*b1*q4_1**2*q5_0 + 70*b1*q5_0**2 - 70*b4**2*q5_1 - 70*b4*q4_1*q5_1 + 21*b4*q4_1 + 140*q5_0*q5_1 - 14*q5_0
1	0	[1,1]	2	4	210*a1_0*b4*q5_1 - 24*a1_0*b4 - 70*b4**2*q5_1 - 70*b4*q4_1*q5_1 + 21*b4*q4_1 + 140*q5_0*q5_1 - 14*q5_0
0	0	[1,2]	4	25	90*a1_0*b3*q5_1 - 12*a1_0*b3 + 30*a1_0*b4**2*q4_1 - 180*a1_0*b4*q2_0*q5_1 - 60*a1_0*b4*q4_1**2 + 450*a1_0*b4*q5_0*q5_1 + 90*a1_0*q2_0*q4_1*q5_1 + 60*a1_0*q3_0*q5_1 + 30*a1_0*q4_1*q5_0 + 200*a3_0*b4*q5_1 - 100*a3_0*q4_1*q5_1 - 75*a4_0*q5_1 + 35*b3*b4*q5_1 + 70*b3*q4_1*q5_1 - 7*b3*q4_1 + 140*b4**2*q4_1**2 - 35*b4**2*q5_0 + 42*b4*q2_0*q4_1 - 140*b4*q3_0*q5_1 - 70*b4*q4_1**3 - 140*b4*q4_1*q5_0 - 63*q2_0**2*q5_1 - 21*q2_0*q5_0 + 70*q3_0*q4_1*q5_1 + 245*q4_0*q5_1 - 21*q4_0 + 35*q4_1**2*q5_0 + 70*q5_0**2
