t	step	band	tag	family	variable	u_primitive_Q_associate	resultant_H_raw_u	source	unit_deferrals_before_pivot	status
6	21	3	12	Q_chain	q9_0	4836*q13_1 - 1267	-161223972	19	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	22	3	11	low_P_chain	a3_0	286*q13_1 - 47	1252628	20	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	23	3	00	scalar_chain	a16_0	q13_1	140	24	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	24	2	12	Q_chain	q10_0	26*q13_1 - 7	-4732	13	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	25	2	11	low_P_chain	a4_0	650*q13_1 - 109	5876468	14	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	26	2	00	scalar_chain	a17_0	q13_1	140	18	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	27	1	12	Q_chain	q11_0	24*q13_1 - 7	-3444	7	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	28	1	11	low_P_chain	a5_0	117*q13_1 - 20	172380	8	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	29	1	00	scalar_chain	a18_0	q13_1	140	12	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	30	0	12	Q_chain	q12_0	39*q13_1 - 28	610428	0	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	31	0	11	endpoint_A	q13_0	78*q13_1 - 7	354900	1	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
6	32	0	00	scalar_chain	b1	13*q13_1 - 2	3380	6	0	EXACT_SCHUR_DISCOVERY_PENDING_FULL_NONLINEAR_VALIDATION
