step	source	band	gamma	pi	variable	coefficient	inverse	resultant	resultant_factorization	rows_after	vars_after	terms_after
11	43	7	1	2	q5_0	1341704/37 - 5240352*q13_1/37	107/175864 - 51*q13_1/23674	-4933213119744/37	{'numer': {'2': 8, '3': 1, '7': 1, '13': 4, '19': 2, '89': 1, '-1': 1}, 'denom': {'37': 1}}	40	27	7233
12	37	6	1	2	q6_0	134862*q13_1 - 34580	3*q13_1/1330 - 11/17290	-121251726960	{'numer': {'2': 4, '3': 1, '5': 1, '7': 2, '13': 4, '19': 2, '-1': 1}, 'denom': {}}	38	26	6641
13	31	5	1	2	b3	2629809*q13_1 - 359632	47/4338061 - 9*q13_1/333697	197743378912716	{'numer': {'2': 2, '3': 1, '7': 2, '13': 6, '19': 2, '193': 1}, 'denom': {}}	36	25	6564
14	72	12	0	0	a7_0	32994546/193 - 126468108*q13_1/193	2663/21262566 - 123*q13_1/272597	-568414218084336/193	{'numer': {'2': 4, '3': 3, '13': 8, '1613': 1, '-1': 1}, 'denom': {'193': 1}}	35	24	5869
15	25	4	1	2	a8_0	-2827539*q13_1	q13_1/195195 - 1/362505	1119296751512940	{'numer': {'2': 2, '3': 4, '5': 1, '7': 1, '11': 2, '13': 8}, 'denom': {}}	33	23	5404
16	67	11	0	0	q8_0	7430254/3 - 9767862*q13_1	30/3297697 - 81*q13_1/2536690	-1861105954575920/3	{'numer': {'2': 4, '5': 1, '13': 8, '19': 2, '79': 1, '-1': 1}, 'denom': {'3': 1}}	32	22	5569
17	19	3	1	2	a9_0	-1999270*q13_1	3*q13_1/414050 - 3/768950	559591274606000	{'numer': {'2': 4, '5': 3, '7': 3, '13': 8}, 'denom': {}}	30	21	5147
18	62	10	0	0	q9_0	83652972/35 - 332107308*q13_1/35	35/3651414 - 119*q13_1/3557788	-140954039840742336/245	{'numer': {'2': 6, '3': 3, '13': 8, '19': 2, '277': 1, '-1': 1}, 'denom': {'5': 1, '7': 2}}	29	20	5173
19	42	6	0	0	a13_0	752982204*q13_1	1/96536180 - q13_1/51981020	79377507935697666240	{'numer': {'2': 6, '3': 2, '5': 1, '7': 1, '13': 14}, 'denom': {}}	28	19	5078
20	13	2	1	2	a10_0	16708185*q13_1	1/2142075 - q13_1/1153425	39082882439191500	{'numer': {'2': 2, '3': 4, '5': 3, '7': 1, '13': 10}, 'denom': {}}	26	18	4685
21	6	0	0	0	b1	18993065*q13_1 - 2922010	3/1461005 - 3*q13_1/561925	7214730361884500	{'numer': {'2': 2, '5': 3, '7': 2, '13': 8, '19': 2}, 'denom': {}}	25	17	9001
22	57	9	0	0	q10_0	761893236/25 - 3047572944*q13_1/25	5/6511908 - q13_1/375687	-2321925212250206784/25	{'numer': {'2': 6, '3': 6, '13': 10, '19': 2, '-1': 1}, 'denom': {'5': 2}}	24	16	8565
23	36	5	0	0	a14_0	-627485170*q13_1	3*q13_1/129952550 - 3/241340450	55123269399790046000	{'numer': {'2': 4, '5': 3, '7': 1, '13': 14}, 'denom': {}}	23	15	8440
24	7	1	1	2	a11_0	8911032*q13_1	1/1142440 - q13_1/615160	11116908782703360	{'numer': {'2': 8, '3': 2, '5': 1, '7': 1, '13': 10}, 'denom': {}}	21	14	6022
25	52	8	0	0	q11_0	126982206*q13_1 - 31474222	9*q13_1/3422926 - 17/22249019	-97941289817138352	{'numer': {'2': 4, '3': 1, '13': 10, '19': 2, '41': 1, '-1': 1}, 'denom': {}}	20	13	5996
26	0	0	1	2	a12_0	-33787663*q13_1	3*q13_1/6997445 - 3/12995255	159824863940219660	{'numer': {'2': 2, '5': 1, '7': 3, '13': 12}, 'denom': {}}	18	12	3869
27	47	7	0	0	q12_0	11555380746*q13_1/5 - 2835935934/5	7*q13_1/46668674 - 40/910039143	-156235467753909747216/5	{'numer': {'2': 4, '3': 3, '13': 12, '19': 2, '43': 1, '-1': 1}, 'denom': {'5': 1}}	17	11	4193
28	30	4	0	0	a15_0	-501988136*q13_1	3*q13_1/103962040 - 3/193072360	35278892415865629440	{'numer': {'2': 8, '5': 1, '7': 1, '13': 14}, 'denom': {}}	16	10	4059
29	71	12	0	1	b2	275128113*q13_1/10 - 72173647/10	6*q13_1/561925 - 8/2713295	-5225526133536345	{'numer': {'3': 1, '5': 1, '7': 1, '13': 10, '19': 2, '-1': 1}, 'denom': {}}	15	9	3787
30	24	3	0	0	a16_0	-376491102*q13_1	q13_1/25990510 - 1/48268090	19844376983924416560	{'numer': {'2': 4, '3': 2, '5': 1, '7': 1, '13': 14}, 'denom': {}}	14	8	3632
31	18	2	0	0	a17_0	250994068*q13_1	3/96536180 - 3*q13_1/51981020	8819723103966407360	{'numer': {'2': 6, '5': 1, '7': 1, '13': 14}, 'denom': {}}	13	7	3452
32	12	1	0	0	a18_0	125497034*q13_1	3/48268090 - 3*q13_1/25990510	2204930775991601840	{'numer': {'2': 4, '5': 1, '7': 1, '13': 14}, 'denom': {}}	12	6	3245
