filename	bytes	sha256	ended_utc	http	url
sources/new-opg-tree.json	81148	d442e2d257abafca3c9b274d54b64fef29b212dd8055953260e2a6e1e548a3f0	2026-09-07T07:37:11Z	200	https://api.github.com/repos/vibemathing/problem-um-opg-1768-jacobian-conjecture-2b59cb7e/git/trees/main?recursive=1
sources/arxiv-keller.xml	39213	bfa62f9549770a510c44e63ceed65ef341152fe79364da77ba1c695a69e2da1a	2026-09-07T07:37:12Z	200	https://export.arxiv.org/api/query?search_query=all:%22Keller%20map%22&sortBy=lastUpdatedDate&sortOrder=descending&max_results=50
sources/arxiv-hessian.xml	9120	76fec9b71c3bf0d2bd1f4f4da986bd305a636c6ff56ce4ff468e13f83162a373	2026-09-07T07:37:11Z	200	https://export.arxiv.org/api/query?search_query=all:%22Hessian%20conjecture%22&sortBy=lastUpdatedDate&sortOrder=descending&max_results=50
sources/arxiv-plane.xml	47001	211f8d476821d75d2ab46ef2f3a200dbd39bf370e6a35db2f6025f471ac8156f	2026-09-07T07:37:12Z	200	https://export.arxiv.org/api/query?search_query=all:%22plane%20Jacobian%22%20OR%20all:%22Jacobian%20pair%22%20OR%20all:%22Abhyankar-Moh%22&sortBy=lastUpdatedDate&sortOrder=descending&max_results=50
sources/arxiv-auto.xml	78883	b1688a39638d6ec41a0cd7a267c0fc7ee5b0816f4cddbc41799bc13c7e15dcd6	2026-09-07T07:37:12Z	200	https://export.arxiv.org/api/query?search_query=all:%22polynomial%20automorphism%22&sortBy=lastUpdatedDate&sortOrder=descending&max_results=50
sources/arxiv-ni.html	41721	879a1acab7346e43cf50a56f6d4fbf201628449ace53546934f802d6834f3f29	2026-09-07T07:37:11Z	200	https://arxiv.org/abs/2608.14217
sources/masto-keller.json	237439	74f4e7bdfc1de5931065d2750a6968dd16c50c0e67b5f26743a58a90bee03d65	2026-09-07T07:37:12Z	200	https://mathstodon.xyz/api/v1/timelines/tag/keller?limit=40
sources/masto-lean.json	203664	1c511f4e7c3b41748aec544faaecd355e296e3a818b59fb85a53fa89b45137d2	2026-09-07T07:37:12Z	200	https://mathstodon.xyz/api/v1/timelines/tag/leanprover?limit=40
sources/bsky-search-alt.json	94	9221cfedfc5e03790f46c7890bca21fcc47c5788d89dab0aa0799c492b6ae78a	2026-09-07T07:37:12Z	403	https://api.bsky.app/xrpc/app.bsky.feed.searchPosts?q=Jacobian%20conjecture&sort=latest&since=2026-09-03T10:17:00Z&limit=100
sources/bsky-keller.json	2334	8609fbf6d25103698c09480062dd212a9f8e8acbc3d320f599bd871cef1a7048	2026-09-07T07:37:12Z	403	https://public.api.bsky.app/xrpc/app.bsky.feed.searchPosts?q=Keller%20map&sort=latest&since=2026-09-03T10:17:00Z&limit=100
sources/x-octonion.html	282417	8045c1a0a42416ea9876ca67cb2622ae9e6845032800b35a98060801e3b2bd16	2026-09-07T07:37:12Z	200	https://x.com/octonion
sources/tao-rss.xml	22357	bf0c07ab259df5c2bbcf88a7a7802411a5e963331ef51f09b4e1d0ae9ec206ec	2026-09-07T07:37:12Z	200	https://terrytao.wordpress.com/comments/feed/
sources/palomar-llms.txt	2247	fa1123445050c7d05dd544bebdb2754378cffcda45c09b6ff4d48bacbd353382	2026-09-07T07:37:12Z	200	https://palomar-registry.org/llms.txt
sources/palarch-repos.json	720347	a3d54fa6b738ded6bbffbc6e9560a24f4f3e6c2840388fac0122fda95b56ad4b	2026-09-07T07:37:13Z	200	https://api.github.com/orgs/PalomarArchive/repos?per_page=100&sort=updated
sources/azofeifa.html	28485	87f564b57a1e792e22f56106005ecbc2f3e3a3cefdffa6d675a0cde9640f6742	2026-09-07T07:37:12Z	200	https://www.davidazofeifa.com/blog/the-jacobian-conjecture-for-n-2
sources/evidence-hc4.html	61431	2dd7e6cfe1bbd857e84bdfd5eb54720540f675cb0aa6156af4638ef57d879f8a	2026-09-07T07:37:12Z	200	https://www.evidencepress.org/releases/hc4-five-support-structural-reductions/
sources/roy-compare.json	1404984	271856d19562056cc5e78f5db16683aa7c080a49722c2eb03805e3b20fc4ecb9	2026-09-07T07:38:51Z	200	https://api.github.com/repos/royvanrijn/jacobian-research/compare/7471645748ae07b8d942f6957e314378ca8aed1f...a293bd94849d1131eae971c6c274323f02f14fc4
