path	sha256	start_utc	end_utc	final_status	exit_code	window_elapsed_seconds	full_elapsed_seconds
xmodel/f10-middle-full-boundary-gate-fable5-20260910.run.v2	b0a77697d297a6b4a2ece342c635290bdd4915d8343d8052b0ede72a43b6dbe6	2026-09-10T06:45:26Z	2026-09-10T06:51:01Z	DONE	0	335	335
xmodel/f10-r2-runtime-gate-fable5-20260910.run.v2	32cb862226da71bb9cbee0dd640d71cc44ce22eb12fd3f9436151cc2b74e6683	2026-09-10T11:23:02Z	2026-09-10T11:38:16Z	DONE	0	914	914
xmodel/f10-r1-quotient-remainder-static-gate-fable5-20260910.run.v2	a8860841096fc7e6fc4c06e2cfae6d2829c73c59ce254b262e0200cd06705baa	2026-09-10T00:40:48Z	2026-09-10T00:53:31Z	DONE	0	763	763
xmodel/f10-all-r-kernel-highest-interface-gate-fable5-20260910.run.v2	8de1925fbcb7d5df7dd85af2d492a3d60d4bbbd7430d8ef7dc5267313edd283f	2026-09-10T22:27:27Z	2026-09-10T22:40:21Z	DONE	0	774	774
xmodel/f10-r2-infinity-arithmetic-delta-gate-fable5-20260910.run.v2	3ada05ba262dab23704584540a6ab30400572ca6dafaedb70035e5ff4b2953f7	2026-09-10T10:52:03Z	2026-09-10T11:02:26Z	DONE	0	623	623
xmodel/f10-contact-global-pivot-gate-fable5-20260910.run.v2	349ccfe10c428d8410c1aae414972599777c2f2074a4acef94142073f029c66d	2026-09-10T02:31:32Z	2026-09-10T02:36:47Z	DONE	0	315	315
xmodel/ideation-20260910T1130Z-fable5.run.v2	cd77c7d6f8eda6c92b8caaac2a7aa02ad8d4530fcbdc3df8e71aafb15e7905d2	2026-09-10T11:37:29Z	2026-09-10T11:45:14Z	DONE	0	465	465
xmodel/f10-middle-septic-gate-fable5-20260910.run.v2	97b3031483baab3903384c39c9e1420948c51fa11d220fe4a4c02c4e5f7020c4	2026-09-10T07:13:38Z	2026-09-10T07:20:32Z	DONE	0	414	414
xmodel/f10-r1-degree-scope-gate-fable5-20260910.run.v2	743cf12521b910f065fdeed31ad0a3f4619193c14136fcca0921278ff8912e80	2026-09-10T12:10:56Z	2026-09-10T12:20:26Z	DONE	0	570	570
xmodel/f10-contact-quartic-gram-gate-fable5-20260910.run.v2	de2d75c6b3339bda7cec1c24815952c129998e1963a14105e6626bc013d87eff	2026-09-10T19:33:37Z	2026-09-10T19:40:59Z	DONE	0	442	442
